model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Logistic Regression,LR,ECFP4,Random shuffle,lr_kdr_hi_random_shuffle_ecfp4,3,0.9677608298706635,0.9862943513370974,0.9838,0.6901,0.27766082987066343,0.29369999999999996,"{'C': 0.005, 'class_weight': None, 'l1_ratio': 0.0}",random_shuffle,15.0,1,0,1
Logistic Regression,LR,MACCS,OOD holdout,lr_kdr_hi_inner_ood_holdout_maccs,1,0.8408045115323325,0.880000575883781,0.9442,0.8307,0.010104511532332494,0.11350000000000005,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.25}",holdout,15.9,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_kdr_hi_inner_ood_holdout_maccs,2,0.7330261714277776,0.892155361188239,0.2116,0.8851,-0.1520738285722224,-0.6735,"{'C': 0.5, 'class_weight': 'balanced', 'l1_ratio': 0.0}",holdout,16.8,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_kdr_hi_inner_ood_holdout_maccs,3,0.7880450084658097,0.8917867427047932,0.9328,0.8135,-0.025454991534190285,0.11929999999999996,"{'C': 0.05, 'class_weight': None, 'l1_ratio': 0.5}",holdout,26.0,1,1,0
Logistic Regression,LR,MACCS,Random shuffle,lr_kdr_hi_random_shuffle_maccs,1,0.9701159009564164,0.9848427570247835,0.9847,0.5441,0.4260159009564164,0.4406,"{'C': 1.0, 'class_weight': None, 'l1_ratio': 1.0}",random_shuffle,3.4,1,1,1
Logistic Regression,LR,MACCS,Random shuffle,lr_kdr_hi_random_shuffle_maccs,2,0.35781287063754597,0.4782971182053545,0.4869,0.7416,-0.38378712936245407,-0.25470000000000004,"{'C': 1.0, 'class_weight': 'balanced', 'l1_ratio': 1.0}",random_shuffle,2.9,1,1,1
Logistic Regression,LR,MACCS,Random shuffle,lr_kdr_hi_random_shuffle_maccs,3,0.9764966125760112,0.9744129212256665,0.9741,0.5457,0.4307966125760112,0.4284,"{'C': 0.01, 'class_weight': 'balanced', 'l1_ratio': 0.0}",random_shuffle,3.0,1,1,1
Logistic Regression,LR,RDKit desc,OOD holdout,lr_kdr_hi_inner_ood_holdout_rdkit_desc,1,0.8535561471870436,0.9132568747658036,0.9671,0.8776,-0.0240438528129564,0.08949999999999991,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",holdout,66.6,1,2,0
Logistic Regression,LR,RDKit desc,OOD holdout,lr_kdr_hi_inner_ood_holdout_rdkit_desc,2,0.7658984245951737,0.9159083381330989,0.2898,0.907,-0.14110157540482637,-0.6172,"{'model__C': 5.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",holdout,82.0,1,2,0
Logistic Regression,LR,RDKit desc,OOD holdout,lr_kdr_hi_inner_ood_holdout_rdkit_desc,3,0.8025038279291461,0.926403730417863,0.9439,0.8481,-0.04559617207085387,0.0958,"{'model__C': 0.5, 'model__class_weight': None, 'model__l1_ratio': 0.0}",holdout,77.2,1,2,0
Logistic Regression,LR,RDKit desc,Random shuffle,lr_kdr_hi_random_shuffle_rdkit_desc,1,0.9916841602291873,0.9960103153895361,0.9963,0.6294,0.3622841602291873,0.3669,"{'model__C': 0.5, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5}",random_shuffle,6.1,1,2,1
Logistic Regression,LR,RDKit desc,Random shuffle,lr_kdr_hi_random_shuffle_rdkit_desc,2,0.45163145387511816,0.8905505579164049,0.8744,0.7469,-0.29526854612488185,0.12749999999999995,"{'model__C': 0.5, 'model__class_weight': None, 'model__l1_ratio': 0.0}",random_shuffle,9.3,1,2,1
