model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total
Logistic Regression,LR,ECFP4,OOD holdout,lr_kdr_hi_inner_ood_holdout_ecfp4,1,0.8840998974588312,0.9702193855047255,0.9938,0.9544,0.1097001025411688,-0.07030010254116881,0.03939999999999999,LogisticRegression,lr_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,184.2143961929944,7.266730189502175,0.1376134759268539,[-2.3320367555793076],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,ECFP4,OOD holdout,lr_kdr_hi_inner_ood_holdout_ecfp4,2,0.8092863551502746,0.9702193855047255,0.6288,0.968,-0.18048635515027456,-0.1587136448497254,-0.33919999999999995,LogisticRegression,lr_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,181.68182091828848,7.144868327688647,0.13996059187328627,[-2.2790959096187065],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,ECFP4,OOD holdout,lr_kdr_hi_inner_ood_holdout_ecfp4,3,0.9095420179752793,0.9774247465048307,0.9868,0.9465,0.07725798202472067,-0.03695798202472067,0.0403,LogisticRegression,lr_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,190.0275052291542,7.5157838994780475,0.13305331996965047,[-2.197492310126611],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,ECFP4,Random shuffle,lr_kdr_hi_random_shuffle_ecfp4,1,0.9898595909441292,0.995314312568416,0.9959,0.5947,0.006040409055870777,0.3951595909441292,0.4012,LogisticRegression,lr_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,886.0,0.134765625,49.88948903482451,2.4118499744967608,0.4146194873537492,[-0.13164222847373216],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,ECFP4,Random shuffle,lr_kdr_hi_random_shuffle_ecfp4,2,0.38032021498215907,0.9214007197532945,0.9234,0.7144,0.5430797850178409,-0.33407978501784097,0.20899999999999996,LogisticRegression,lr_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,298.0,0.708984375,73.31090576997534,5.7072867508086365,0.17521460611004258,[-1.186670766963295],1.0,elasticnet,0.25,False,,
Logistic Regression,LR,ECFP4,Random shuffle,lr_kdr_hi_random_shuffle_ecfp4,3,0.9677608298706635,0.9862943513370974,0.9838,0.6901,0.016039170129336533,0.27766082987066343,0.29369999999999996,LogisticRegression,lr_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,846.0,0.173828125,5.789614250126512,0.34838841295979406,2.870359526323872,[1.2487049812281812],0.005,elasticnet,0.0,False,,
Logistic Regression,LR,MACCS,OOD holdout,lr_kdr_hi_inner_ood_holdout_maccs,1,0.8408045115323325,0.880000575883781,0.9442,0.8307,0.10339548846766755,0.010104511532332494,0.11350000000000005,LogisticRegression,lr_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,110.0,0.3413173652694611,28.725754507295427,3.4992029939800697,0.285779362249167,[-3.4168157535657744],0.1,elasticnet,0.25,False,,
Logistic Regression,LR,MACCS,OOD holdout,lr_kdr_hi_inner_ood_holdout_maccs,2,0.7330261714277776,0.892155361188239,0.2116,0.8851,-0.5214261714277776,-0.1520738285722224,-0.6735,LogisticRegression,lr_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,150.0,0.10179640718562877,51.61230833555345,5.45213061320673,0.18341453478346498,[-4.331907523326835],0.5,elasticnet,0.0,False,,
Logistic Regression,LR,MACCS,OOD holdout,lr_kdr_hi_inner_ood_holdout_maccs,3,0.7880450084658097,0.8917867427047932,0.9328,0.8135,0.14475499153419025,-0.025454991534190285,0.11929999999999996,LogisticRegression,lr_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,77.0,0.5389221556886228,16.090594438812793,2.54123014671423,0.3935102065796693,[-1.5553299349366503],0.05,elasticnet,0.5,False,,
Logistic Regression,LR,MACCS,Random shuffle,lr_kdr_hi_random_shuffle_maccs,1,0.9701159009564164,0.9848427570247835,0.9847,0.5441,0.014584099043583598,0.4260159009564164,0.4406,LogisticRegression,lr_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,47.0,0.718562874251497,30.954637702456147,6.0634288948792925,0.16492318411526577,[-0.5999749007835138],1.0,elasticnet,1.0,False,,
