mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
5.199749827384949,0.31751739978790283,0.07296037673950195,0.014495134353637695,0.8,1.0,200,5,5,0.1,1.0,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.41017664040795543,0.45565474599338257,0.432915693200669,0.02273905279271357,4,0.9990484470462542,0.9944190645890805,0.9967337558176673,0.0023146912285868515
1.9592223167419434,0.3096952438354492,0.040094733238220215,0.0013402700424194336,1.0,5.0,100,1,3,0.05,0.8,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.33304429336514935,0.36471379870230475,0.34887904603372705,0.0158347526685777,40,0.5822144657414433,0.5212334711948008,0.5517239684681221,0.03049049727332126
2.0305413007736206,0.044991135597229004,0.05416440963745117,0.008154630661010742,0.8,1.0,100,5,4,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.3845486111777638,0.41779225481603005,0.4011704329968969,0.01662182181913313,27,0.8368262300046764,0.7961467564877511,0.8164864932462137,0.020339736758462623
5.263156771659851,0.42373669147491455,0.06300950050354004,0.0037555694580078125,0.8,5.0,200,1,4,0.03,0.8,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.38163774075363804,0.4108999160887601,0.39626882842119904,0.014631087667561021,29,0.7688802767250231,0.7342062667485376,0.7515432717367804,0.017337004988242755
7.018446207046509,0.3825414180755615,0.06727218627929688,0.017882823944091797,0.8,1.0,300,1,4,0.1,1.0,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.4042762030982212,0.45028979006912734,0.4272829965836743,0.023006793485453064,6,0.9999999999999999,0.9999556655616835,0.9999778327808417,2.2167219158208962e-05
8.835279703140259,0.2376093864440918,0.056133389472961426,0.0020357370376586914,1.0,5.0,300,1,5,0.03,1.0,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.399413966086653,0.4288794285112094,0.4141466972989312,0.014732731212278194,21,0.9641029454357111,0.9397133927883651,0.9519081691120381,0.012194776323672996
7.721475601196289,0.24669480323791504,0.04979515075683594,0.010104656219482422,0.8,5.0,200,1,5,0.1,1.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.40858709713158287,0.4640988834273703,0.4363429902794766,0.02775589314789373,1,1.0,0.9994936774790874,0.9997468387395436,0.0002531612604563249
5.075730204582214,0.4303241968154907,0.07185590267181396,0.02386486530303955,0.8,5.0,300,1,3,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 5.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.40236878383829944,0.4493982113405101,0.4258834975894048,0.023514713751105337,9,0.9660570518228262,0.9428238508105189,0.9544404513166725,0.011616600506153651
4.097078323364258,0.5712616443634033,0.06011044979095459,0.002263188362121582,1.0,5.0,100,1,5,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 5.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.4044185420509329,0.436647969647713,0.420533255849323,0.01611471379839005,12,0.9768340761737562,0.9526918451476742,0.9647629606607152,0.012071115513040964
3.440053105354309,0.0715252161026001,0.06895887851715088,0.001132369041442871,0.8,1.0,200,1,3,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.3992878208033618,0.4233595711552959,0.41132369597932883,0.012035875175967048,22,0.9306274256041821,0.8916779505322565,0.9111526880682193,0.019474737535962794
