feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,permutation_importance_mean,permutation_importance_std,permutation_scoring,permutation_eval_set,permutation_n_repeats,permutation_importance_rank
382,ecfp4_bit_382,0.0019723959267139435,,False,0.001972395888870175,96,2.6896479919449184e-05,0.00016164390392857205,average_precision,test,10,205
1514,ecfp4_bit_1514,0.0009398029069416225,,False,0.0009398028889099062,339,2.6372907385129735e-05,4.787718711738207e-05,average_precision,test,10,206
357,ecfp4_bit_357,0.0014047271106392145,,False,0.001404727083687137,162,2.6081726572548674e-05,0.00012725344081972452,average_precision,test,10,207
743,ecfp4_bit_743,0.0056656342931091785,,False,0.005665634184404354,19,2.580330365331146e-05,8.884300762604739e-05,average_precision,test,10,208
1269,ecfp4_bit_1269,0.0007008802494965494,,False,0.0007008802360489704,494,2.5802602640290912e-05,2.342180752393865e-05,average_precision,test,10,209
1260,ecfp4_bit_1260,0.0009646384278312325,,False,0.0009646384093230046,324,2.5636848702129818e-05,0.0001862691376889284,average_precision,test,10,210
1017,ecfp4_bit_1017,0.000652735645417124,,False,0.0006527356328932811,514,2.5535505869676845e-05,4.496975737789805e-05,average_precision,test,10,211
521,ecfp4_bit_521,0.0005808182177133858,,False,0.000580818206569401,540,2.5525985282574133e-05,2.1352620222636285e-05,average_precision,test,10,212
1817,ecfp4_bit_1817,0.0007198514649644494,,False,0.0007198514511528755,484,2.425006966358459e-05,3.096716846831791e-05,average_precision,test,10,213
186,ecfp4_bit_186,0.00130842172075063,,False,0.001308421695646335,179,2.3812442920124326e-05,1.6225042097299525e-06,average_precision,test,10,214
1876,ecfp4_bit_1876,0.0007286840700544417,,False,0.0007286840560733991,476,2.308240868467773e-05,5.6595584366226e-05,average_precision,test,10,215
1745,ecfp4_bit_1745,0.0014003284741193056,,False,0.0014003284472516235,165,2.2544107662496315e-05,7.249871519020409e-05,average_precision,test,10,216
431,ecfp4_bit_431,0.0010648549068719149,,False,0.0010648548864408633,258,2.253133999233839e-05,8.346733530891862e-05,average_precision,test,10,217
1992,ecfp4_bit_1992,0.0005483392160385847,,False,0.0005483392055177647,547,2.2292465393537048e-05,1.5581298058205008e-05,average_precision,test,10,218
771,ecfp4_bit_771,0.000567294133361429,,False,0.0005672941224769267,542,2.051083604689072e-05,1.5752912050848417e-06,average_precision,test,10,219
952,ecfp4_bit_952,0.002396747237071395,,False,0.0023967471910857252,72,2.0472682286129527e-05,0.000442454354175489,average_precision,test,10,220
79,ecfp4_bit_79,0.00044897181214764714,,False,0.00044897180353335974,567,2.0148417270325623e-05,3.150699028224243e-05,average_precision,test,10,221
776,ecfp4_bit_776,0.0008793629240244627,,False,0.0008793629071523902,383,1.9561702701885454e-05,2.198438414492183e-05,average_precision,test,10,222
841,ecfp4_bit_841,0.000568877556361258,,False,0.0005688775454463751,541,1.917191760814965e-05,8.701439406813914e-05,average_precision,test,10,223
1428,ecfp4_bit_1428,0.001087779295630753,,False,0.0010877792747598582,248,1.916346481443537e-05,1.522048787084536e-05,average_precision,test,10,224
1993,ecfp4_bit_1993,0.0011374839814379811,,False,0.0011374839596134175,234,1.9106314839383713e-05,2.9535838416479375e-05,average_precision,test,10,225
1110,ecfp4_bit_1110,0.00122812669724226,,False,0.0012281266736785617,209,1.8185421067450773e-05,1.5176534262224549e-05,average_precision,test,10,226
1981,ecfp4_bit_1981,0.001053973799571395,,False,0.001053973779349116,266,1.6559552077852203e-05,1.1163632034700716e-05,average_precision,test,10,227
1888,ecfp4_bit_1888,0.0008741847705096006,,False,0.0008741847537368798,385,1.6456450680090577e-05,1.953997082630215e-05,average_precision,test,10,228
1589,ecfp4_bit_1589,0.001403488451614976,,False,0.0014034884246866644,164,1.610321610236512e-05,9.554234143611721e-05,average_precision,test,10,229
199,ecfp4_bit_199,0.0007324356702156365,,False,0.0007324356561626131,475,1.5991454458304244e-05,2.155066532892723e-05,average_precision,test,10,230
1160,ecfp4_bit_1160,0.0014884707052260637,,False,0.001488470676667223,146,1.5380570528306797e-05,1.452443699524237e-05,average_precision,test,10,231
1286,ecfp4_bit_1286,0.0017864542314782739,,False,0.0017864541972021127,106,1.507317312494233e-05,4.913502239447723e-06,average_precision,test,10,232
947,ecfp4_bit_947,0.0009601691272109747,,False,0.0009601691087884978,327,1.4732695706269616e-05,3.3297346576817765e-05,average_precision,test,10,233
5,ecfp4_bit_5,0.000766736688092351,,False,0.0007667366733812043,457,1.4726605178126684e-05,4.842645188456174e-05,average_precision,test,10,234
1856,ecfp4_bit_1856,0.0004612778720911592,,False,0.00046127786324075916,564,1.372115569876764e-05,0.0,average_precision,test,10,235
1359,ecfp4_bit_1359,0.0027049644850194454,,False,0.002704964433120104,57,1.353972519609753e-05,0.00013349262069907954,average_precision,test,10,236
759,ecfp4_bit_759,0.001093834056518972,,False,0.001093834035531906,247,1.3426141356379789e-05,0.0004466790444941188,average_precision,test,10,237
703,ecfp4_bit_703,0.00023643739405088127,,False,0.00023643738951442794,594,1.3258410513071472e-05,1.902278059096493e-06,average_precision,test,10,238
