dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,n_positive_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,model_order,fingerprint_order,protocol_order,dataset_order
drd2,Logistic Regression,LR,RDKit desc,OOD holdout,2,217,190,190,0.9999999999999917,0.9999999999999917,0.2250267197151068,0.225027,0.38265620644604714,0.382656,0.6551033576090403,0.655103,0.8772256865913557,0.877226,0.9817463088906315,0.981746,0.9999999999999916,1.0,1,2,0,0
drd2,Logistic Regression,LR,RDKit desc,OOD holdout,3,217,60,60,0.9999999999999967,0.9999999999999967,0.3959075733769588,0.395908,0.6503938346895963,0.650394,0.9817237911884089,0.981724,0.9999999999999967,1.0,0.9999999999999967,1.0,0.9999999999999967,1.0,1,2,0,0
drd2,Logistic Regression,LR,RDKit desc,Random shuffle,1,217,199,199,0.9999999999999905,0.9999999999999905,0.15761639830844482,0.157616,0.27767656534128254,0.277677,0.5560455864541998,0.556046,0.8254829126129637,0.825483,0.957337825966829,0.957338,0.9999999999999905,1.0,1,2,1,0
drd2,Logistic Regression,LR,RDKit desc,Random shuffle,2,217,198,198,0.9999999999999901,0.9999999999999901,0.2094421198198621,0.209442,0.3594974535153755,0.359497,0.6230698637530889,0.62307,0.8463431712004085,0.846343,0.9647204425086398,0.96472,0.9999999999999901,1.0,1,2,1,0
drd2,Logistic Regression,LR,RDKit desc,Random shuffle,3,217,151,151,0.9999999999999931,0.9999999999999931,0.2585443923697342,0.258544,0.42947655858798717,0.429477,0.6987229010988805,0.698723,0.9260340126600368,0.926034,0.9999107935126409,0.999911,0.999999999999993,1.0,1,2,1,0
drd2,Linear SVM,SVM,ECFP4,OOD holdout,1,1024,990,990,0.999999999999952,0.999999999999952,0.0403332663019331,0.040333,0.07124516751363151,0.071245,0.15205116115948747,0.152051,0.2646019923041096,0.264602,0.3596114193392115,0.359611,0.4434531528514419,0.443453,2,0,0,0
drd2,Linear SVM,SVM,ECFP4,OOD holdout,2,1024,1017,1017,0.9999999999999527,0.9999999999999527,0.0440122426385179,0.044012,0.08011591948939802,0.080116,0.1712601066260301,0.17126,0.2916049048292433,0.291605,0.39286458459247353,0.392865,0.48020264499202553,0.480203,2,0,0,0
drd2,Linear SVM,SVM,ECFP4,OOD holdout,3,1024,992,992,0.999999999999952,0.999999999999952,0.0626642926970346,0.062664,0.1091434629305033,0.109143,0.2125224045168668,0.212522,0.3455292932181686,0.345529,0.44776345479174506,0.447763,0.5329836799234651,0.532984,2,0,0,0
drd2,Linear SVM,SVM,ECFP4,Random shuffle,1,1024,1005,1005,0.9999999999999536,0.9999999999999536,0.0382840979029734,0.038284,0.0709183105748864,0.070918,0.15408927112578738,0.154089,0.26584960550588727,0.26585,0.3620794790878189,0.362079,0.44735270491684354,0.447353,2,0,1,0
drd2,Linear SVM,SVM,ECFP4,Random shuffle,2,1024,1007,1007,0.999999999999954,0.999999999999954,0.0369906227474063,0.036991,0.0668544931241979,0.066854,0.1453600423894388,0.14536,0.25858341216484976,0.258583,0.35853293977364,0.358533,0.4451159280065197,0.445116,2,0,1,0
drd2,Linear SVM,SVM,ECFP4,Random shuffle,3,1024,1004,1004,0.9999999999999539,0.9999999999999539,0.0373817742782803,0.037382,0.06978766088302608,0.069788,0.1509079176499378,0.150908,0.2639007646014879,0.263901,0.3608002326778209,0.3608,0.44456689130100524,0.444567,2,0,1,0
drd2,Linear SVM,SVM,MACCS,OOD holdout,1,167,147,147,0.9999999999999927,0.9999999999999927,0.19659917678280903,0.196599,0.34702599870757467,0.347026,0.6681860594143644,0.668186,0.9387809700132485,0.938781,0.9999999999999928,1.0,0.9999999999999927,1.0,2,1,0,0
drd2,Linear SVM,SVM,MACCS,OOD holdout,2,167,148,148,0.9999999999999938,0.9999999999999938,0.3104535543967451,0.310454,0.4807987388291326,0.480799,0.753612215529982,0.753612,0.9507857014043107,0.950786,0.9999999999999938,1.0,0.9999999999999938,1.0,2,1,0,0
drd2,Linear SVM,SVM,MACCS,OOD holdout,3,167,143,143,0.9999999999999938,0.9999999999999938,0.28485641622348923,0.284856,0.4600320969503234,0.460032,0.7531093667177212,0.753109,0.9526560688269717,0.952656,0.9999999999999938,1.0,0.9999999999999938,1.0,2,1,0,0
drd2,Linear SVM,SVM,MACCS,Random shuffle,1,167,146,146,0.9999999999999933,0.9999999999999933,0.2676044703599464,0.267604,0.42336017501391104,0.42336,0.7116207586010184,0.711621,0.944841610630346,0.944842,0.9999999999999933,1.0,0.9999999999999933,1.0,2,1,1,0
drd2,Linear SVM,SVM,MACCS,Random shuffle,2,167,148,148,0.9999999999999928,0.9999999999999928,0.3025905149985063,0.302591,0.4679279618240856,0.467928,0.7430152386124084,0.743015,0.948003054589085,0.948003,0.9999999999999927,1.0,0.9999999999999928,1.0,2,1,1,0
drd2,Linear SVM,SVM,MACCS,Random shuffle,3,167,143,143,0.9999999999999929,0.9999999999999929,0.2850745174947764,0.285075,0.4599338153898603,0.459934,0.7527664005118535,0.752766,0.9526194788192484,0.952619,0.9999999999999929,1.0,0.9999999999999929,1.0,2,1,1,0
hiv,Decision Tree,DT,ECFP4,OOD holdout,1,1024,7,2,-0.004143866217107969,0.0001907230759422303,0.0001907230759422303,1.0,0.0001907230759422303,1.0,0.0001907230759422303,1.0,0.0001907230759422303,1.0,0.0001907230759422303,1.0,0.0001907230759422303,1.0,0,0,0,1
hiv,Decision Tree,DT,ECFP4,OOD holdout,2,1024,135,69,0.02771953059230412,0.04936021715511173,0.0343707482189702,0.696325,0.041884782263264406,0.848553,0.04859945754268138,0.984588,0.04936021715511173,1.0,0.04936021715511173,1.0,0.04936021715511173,1.0,0,0,0,1
hiv,Decision Tree,DT,ECFP4,OOD holdout,3,1024,159,87,0.006198053689570479,0.018993699299903976,0.0125760362328963,0.662116,0.016094484518651,0.847359,0.018518295906441336,0.97497,0.018993699299903976,1.0,0.018993699299903976,1.0,0.018993699299903976,1.0,0,0,0,1
