dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,model_order,fingerprint_order,protocol_order,dataset_order
drd2,DRD2,Decision Tree,DT,MACCS,Random shuffle,2,0.8350202316658755,0.9009,0.8073,0.02772023166587545,0.09360000000000002,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_maccs,maccs,167,15.0,189.0,95.0,70.0,0.41916167664670656,gini,15.0,sqrt,2.0,10.0,0.001,balanced,6.571428571428571,2.9304871782761337,0.0,14.0,,,,,,,,,,,,,,,0,1,1,0
drd2,DRD2,Decision Tree,DT,MACCS,Random shuffle,3,0.8677706392135995,0.9515,0.7035,0.16427063921359952,0.248,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_maccs,maccs,167,15.0,389.0,195.0,99.0,0.592814371257485,entropy,15.0,sqrt,1.0,20.0,0.0,,7.595959595959596,3.200123709474881,0.0,14.0,,,,,,,,,,,,,,,0,1,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,1,0.8607152478855009,0.9674,0.6795,0.18121524788550092,0.28790000000000004,LogisticRegression,lr_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,376.0,0.6328125,60.24665210415013,4.033987412260196,0.24789368379305665,[-3.0853968987198948],0.1,deprecated,0.25,False,,,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,2,0.6675184720991642,0.9606,0.8695,-0.2019815279008359,0.09109999999999996,LogisticRegression,lr_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1022.0,0.001953125,135.150989479645,5.425809963505555,0.18430428023209117,[-1.7711958860567751],0.1,deprecated,0.0,False,,,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,3,0.7260848392231135,0.9042,0.7226,0.0034848392231134895,0.18159999999999998,LogisticRegression,lr_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,34.0,0.966796875,7.924230253838612,1.7595305005546722,0.5683334274027994,[-1.170985060586321],0.05,deprecated,1.0,False,,,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,1,0.9382064006551007,0.9889,0.6487,0.2895064006551007,0.34019999999999995,LogisticRegression,lr_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1018.0,0.005859375,277.99318634832343,11.062345184256424,0.09039674529621151,[-3.1366966613348435],0.5,deprecated,0.0,False,,,1,0,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,2,0.8852823984283071,0.9805,0.8659,0.019382398428307135,0.11460000000000004,LogisticRegression,lr_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1022.0,0.001953125,299.23483565112974,11.879204569728632,0.08418072052974536,[-2.527282645516787],0.5,deprecated,0.0,False,,,1,0,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,3,0.9079660940535252,0.9703,0.7884,0.11956609405352525,0.18190000000000006,LogisticRegression,lr_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1020.0,0.00390625,127.3584191418067,5.280600820754565,0.18937239036695566,[-2.434713620888289],0.1,deprecated,0.0,False,,,1,0,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,1,0.8042561307635743,0.9194,0.6403,0.1639561307635743,0.2791,LogisticRegression,lr_drd2_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,102.0,0.3892215568862275,56.38142648859945,7.406115001598502,0.13502355820618026,[-7.842675458184266],1.0,deprecated,1.0,False,,,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,2,0.6909906652124838,0.8919,0.8075,-0.11650933478751624,0.08440000000000003,LogisticRegression,lr_drd2_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,140.0,0.16167664670658688,150.4030577248408,21.548625027998227,0.0464066732193212,[-9.75797825519457],10.0,deprecated,1.0,False,,,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,3,0.7179849412945225,0.9126,0.7904,-0.07241505870547749,0.12219999999999998,LogisticRegression,lr_drd2_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,137.0,0.17964071856287422,147.209510082002,20.45841251205484,0.04887964789109437,[-6.6673386429533545],10.0,deprecated,1.0,False,,,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,1,0.8779666107213907,0.9209,0.6339,0.2440666107213907,0.28700000000000003,LogisticRegression,lr_drd2_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,101.0,0.39520958083832336,44.012229804732556,5.827716875624846,0.17159378558396082,[-7.700064020756698],0.5,deprecated,0.75,False,,,1,1,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,2,0.8380505885469092,0.894,0.8029,0.03515058854690922,0.09110000000000007,LogisticRegression,lr_drd2_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,137.0,0.17964071856287422,126.89552854980559,17.630731777802705,0.056719143175838656,[-9.056382524426215],5.0,deprecated,1.0,False,,,1,1,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,3,0.855680330902755,0.9117,0.7875,0.068180330902755,0.12419999999999998,LogisticRegression,lr_drd2_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,125.0,0.25149700598802394,117.03715355558776,16.640593629583034,0.06009401000107573,[-10.295218763814221],5.0,deprecated,1.0,False,,,1,1,1,0
