dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,model_order,fingerprint_order,protocol_order,dataset_order
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,1,0.10248845807013461,0.4052,0.0676,0.03488845807013462,0.3376,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,105.0,0.8974609375,22.392328583239337,3.3012509791870976,0.3029154724389482,[-4.489898501538395],0.1,elasticnet,1.0,False,,,1,0,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,2,0.11764594928006691,0.4263,0.0752,0.04244594928006691,0.3511,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,397.5486400250085,15.379071559405823,0.06502343110487714,[-1.86241869088799],0.1,elasticnet,0.0,False,,,1,0,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,3,0.16525761355557522,0.5288,0.0302,0.13505761355557522,0.49860000000000004,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,974.0,0.048828125,167.78038331295852,8.996313530396803,0.11115664173121508,[-2.1023510831184846],0.1,elasticnet,1.0,False,,,1,0,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,1,0.38833564295921985,0.6006,0.0906,0.29773564295921984,0.51,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,150.262971200327,6.016560706876656,0.16620791324469567,[-4.800766362257812],0.1,elasticnet,0.0,False,,,1,0,1,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,2,0.34619509787447916,0.5399,0.0954,0.2507950978744792,0.44450000000000006,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,136.42439111572423,5.45103662273094,0.1834513449845445,[-4.549066720719196],0.1,elasticnet,0.0,False,,,1,0,1,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,3,0.49393106645754153,0.6587,0.0281,0.4658310664575415,0.6305999999999999,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,158.1553449677639,6.3003183677547705,0.1587221377760895,[-4.798055855968592],0.1,elasticnet,0.0,False,,,1,0,1,1
hiv,HIV,Logistic Regression,LR,MACCS,OOD holdout,1,0.12172407710528933,0.1779,0.1984,-0.07667592289471066,-0.02049999999999999,LogisticRegression,lr_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,164.0,0.017964071856287456,187.59770553668199,23.8358257165906,0.04195365463273898,[-3.645926386081779],10.0,elasticnet,1.0,False,,,1,1,0,1
hiv,HIV,Logistic Regression,LR,MACCS,OOD holdout,2,0.15848128462436223,0.3097,0.0929,0.06558128462436223,0.2168,LogisticRegression,lr_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,52.0,0.688622754491018,9.4565055197674,1.8785837141038193,0.5323159103809495,[-4.775127086100702],0.1,elasticnet,1.0,False,,,1,1,0,1
hiv,HIV,Logistic Regression,LR,MACCS,OOD holdout,3,0.2457193817651329,0.1968,0.0473,0.19841938176513288,0.1495,LogisticRegression,lr_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,157.0,0.05988023952095811,57.068311214434296,6.778975818730595,0.14751490885053137,[-2.7602396996176277],0.1,elasticnet,1.0,False,,,1,1,0,1
hiv,HIV,Logistic Regression,LR,MACCS,Random shuffle,1,0.2692232187539263,0.3417,0.1623,0.1069232187539263,0.1794,LogisticRegression,lr_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,164.0,0.017964071856287456,61.97839995867843,6.329439229327263,0.15799187949645374,[-4.975731544897265],1.0,elasticnet,0.0,False,,,1,1,1,1
hiv,HIV,Logistic Regression,LR,MACCS,Random shuffle,2,0.2943062248993774,0.341,0.0915,0.2028062248993774,0.24950000000000003,LogisticRegression,lr_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,27.76289569448567,2.83237076059159,0.3530611224750578,[-4.793976016167073],0.1,elasticnet,0.0,False,,,1,1,1,1
hiv,HIV,Logistic Regression,LR,MACCS,Random shuffle,3,0.3581049417709318,0.406,0.0455,0.3126049417709318,0.36050000000000004,LogisticRegression,lr_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,58.112011134902076,5.985007180155625,0.16708417716117052,[-4.841179166717462],1.0,elasticnet,0.0,False,,,1,1,1,1
hiv,HIV,Logistic Regression,LR,RDKit desc,OOD holdout,1,0.14752408432396724,0.3391,0.0889,0.058624084323967235,0.2502,LogisticRegression,lr_hiv_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,213.0,0.018433179723502335,12.165715260998908,1.0814882928186291,0.9246517106475094,[-3.7591107845747938],0.01,elasticnet,0.0,False,,,1,2,0,1
hiv,HIV,Logistic Regression,LR,RDKit desc,OOD holdout,2,0.22697464104655096,0.425,0.1356,0.09137464104655096,0.2894,LogisticRegression,lr_hiv_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,215.0,0.009216589861751112,22.2471380225338,2.038211224294404,0.4906262844991367,[-4.209718131006026],0.1,elasticnet,0.0,False,,,1,2,0,1
hiv,HIV,Logistic Regression,LR,RDKit desc,OOD holdout,3,0.14168768495589332,0.5074,0.041,0.10068768495589331,0.4664,LogisticRegression,lr_hiv_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,215.0,0.009216589861751112,57.084185005074964,5.372757141939548,0.18612417676467008,[-4.195934322974212],10.0,elasticnet,0.0,False,,,1,2,0,1
hiv,HIV,Logistic Regression,LR,RDKit desc,Random shuffle,1,0.26769522980644933,0.3838,0.1693,0.09839522980644932,0.21449999999999997,LogisticRegression,lr_hiv_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,179.0,0.1751152073732719,31.272457966374578,3.4426362059792397,0.2904750720576226,[-4.075748769465875],1.0,elasticnet,1.0,False,,,1,2,1,1
hiv,HIV,Logistic Regression,LR,RDKit desc,Random shuffle,2,0.3606154710602172,0.4113,0.1319,0.2287154710602172,0.2794,LogisticRegression,lr_hiv_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,138.0,0.3640552995391705,11.268388210432576,1.3927136834884688,0.7180226717491569,[-4.077895629820703],0.1,elasticnet,0.5,False,,,1,2,1,1
hiv,HIV,Logistic Regression,LR,RDKit desc,Random shuffle,3,0.4223063670419082,0.501,0.0401,0.38220636704190825,0.4609,LogisticRegression,lr_hiv_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,193.0,0.11059907834101379,36.74519415538913,3.693227489478782,0.27076588237491106,[-4.057863626081142],1.0,elasticnet,1.0,False,,,1,2,1,1
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,1,0.07785530119312378,0.6248,0.0616,0.01625530119312378,0.5632,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,91.08498579374053,3.6123292231517223,0.27682969580704764,[-1.8044063555593781],0.1,,,,"[1029, 560]",1589.0,2,0,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,2,0.11107565279641697,0.6437,0.0675,0.04357565279641697,0.5762,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,181.33977772858793,7.155548703753665,0.1397516866142521,[-2.2095716490850363],0.5,,,,"[1006, 455]",1461.0,2,0,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,3,0.10570953239873399,0.5429,0.0306,0.07510953239873398,0.5123000000000001,SVC,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,111.79892953552255,4.48276140410118,0.22307678456522848,[-1.4706630253726396],0.01,,,,"[6602, 401]",7003.0,2,0,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,1,0.36233115734034116,0.5126,0.0771,0.28523115734034116,0.43549999999999994,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,21.630754622801255,0.9189828384199656,1.0881596023265565,[-1.2705605300245815],0.01,,,,"[923, 599]",1522.0,2,0,1,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,2,0.2977279023690038,0.5734,0.0721,0.22562790236900382,0.5013000000000001,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,73.9891798977945,2.918370068586145,0.3426570230979882,[-1.5761898741171443],0.1,,,,"[971, 473]",1444.0,2,0,1,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,3,0.4619258404386232,0.6766,0.0241,0.4378258404386232,0.6525,SVC,svm_linear_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,105.24946796670167,4.143991734410979,0.24131322263415145,[-2.043217300461646],0.1,,,,"[1084, 687]",1771.0,2,0,1,1
hiv,HIV,Linear SVM,SVM,MACCS,OOD holdout,1,0.09991338377498926,0.2011,0.1456,-0.045686616225010745,0.055499999999999994,SVC,svm_linear_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,164.0,0.017964071856287456,48.297938520157906,5.167921735271822,0.19350138241739492,[-1.7817210701653232],0.1,,,,"[8432, 365]",8797.0,2,1,0,1
hiv,HIV,Linear SVM,SVM,MACCS,OOD holdout,2,0.2141180102747668,0.2635,0.121,0.0931180102747668,0.14250000000000002,SVC,svm_linear_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,0.042402610950004214,0.007763978383100738,128.79994645227555,[-1.0003731662260793],0.1,,,,"[1331, 504]",1835.0,2,1,0,1
hiv,HIV,Linear SVM,SVM,MACCS,OOD holdout,3,0.17483343771947224,0.2733,0.0437,0.13113343771947222,0.22959999999999997,SVC,svm_linear_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,26.543517904599945,2.681084966282606,0.3729833304710689,[-1.684044766997041],0.01,,,,"[8390, 459]",8849.0,2,1,0,1
hiv,HIV,Linear SVM,SVM,MACCS,Random shuffle,1,0.1463345034559636,0.2053,0.1584,-0.012065496544036408,0.0469,SVC,svm_linear_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,164.0,0.017964071856287456,58.61856769473907,6.481485350632466,0.15428562218418337,[-1.845350860507073],0.5,,,,"[8218, 364]",8582.0,2,1,1,1
hiv,HIV,Linear SVM,SVM,MACCS,Random shuffle,2,0.25918674381852763,0.2699,0.0982,0.16098674381852762,0.17169999999999996,SVC,svm_linear_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,0.035562567435051214,0.006742698950252276,148.3085641785305,[-1.0003037517110605],5.0,,,,"[3727, 504]",4231.0,2,1,1,1
hiv,HIV,Linear SVM,SVM,MACCS,Random shuffle,3,0.29080736640594035,0.2847,0.0546,0.23620736640594034,0.2301,SVC,svm_linear_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,0.0363050225597898,0.006921419043351716,144.47904305989647,[-1.0002365656669332],0.1,,,,"[1599, 775]",2374.0,2,1,1,1
kdr,KDR,Decision Tree,DT,ECFP4,OOD holdout,1,0.8628534344864465,0.9783,0.9105,-0.04764656551355351,0.06779999999999997,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,985.0,493.0,358.0,0.349609375,entropy,20.0,log2,1.0,5.0,0.0,balanced,12.273743016759777,4.217273995877667,0.0,19.0,,,,,,,,,,,,,,,0,0,0,2
kdr,KDR,Decision Tree,DT,ECFP4,OOD holdout,2,0.7857617783352532,0.5579,0.9438,-0.1580382216647468,-0.3859,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,339.0,170.0,152.0,0.1484375,entropy,20.0,sqrt,2.0,2.0,0.001,balanced,10.243421052631579,4.435201162183117,0.0,19.0,,,,,,,,,,,,,,,0,0,0,2
kdr,KDR,Decision Tree,DT,ECFP4,OOD holdout,3,0.9022558914203413,0.987,0.9726,-0.07034410857965867,0.014399999999999968,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,551.0,276.0,220.0,0.21484375,entropy,20.0,,2.0,20.0,0.0,,9.572727272727272,4.198395994379262,0.0,19.0,,,,,,,,,,,,,,,0,0,0,2
kdr,KDR,Decision Tree,DT,ECFP4,Random shuffle,1,0.9639075356174962,0.9857,0.6003,0.36360753561749626,0.3854000000000001,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,7.0,49.0,25.0,24.0,0.0234375,gini,7.0,,2.0,10.0,0.0,balanced,3.375,1.6024070435857842,0.0,6.0,,,,,,,,,,,,,,,0,0,1,2
kdr,KDR,Decision Tree,DT,ECFP4,Random shuffle,2,0.3042369145318208,0.578,0.7218,-0.4175630854681792,-0.14380000000000004,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,10.0,79.0,40.0,38.0,0.037109375,entropy,10.0,sqrt,2.0,5.0,0.0,balanced,5.473684210526316,2.5519532468211907,0.0,9.0,,,,,,,,,,,,,,,0,0,1,2
kdr,KDR,Decision Tree,DT,ECFP4,Random shuffle,3,0.9701191180244242,0.9478,0.5146,0.45551911802442424,0.43320000000000003,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,10.0,35.0,18.0,17.0,0.0166015625,entropy,10.0,log2,2.0,5.0,0.0,,5.235294117647059,2.8600578308572278,0.0,9.0,,,,,,,,,,,,,,,0,0,1,2
kdr,KDR,Decision Tree,DT,MACCS,OOD holdout,1,0.8808368367030034,0.9918,0.949,-0.06816316329699657,0.04280000000000006,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_maccs,maccs,167,15.0,585.0,293.0,100.0,0.5988023952095808,entropy,15.0,,10.0,2.0,0.0,balanced,6.38,2.737809343252375,0.0,13.0,,,,,,,,,,,,,,,0,1,0,2
kdr,KDR,Decision Tree,DT,MACCS,OOD holdout,2,0.8151394267759757,0.5716,0.9524,-0.1372605732240243,-0.3808,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_maccs,maccs,167,10.0,373.0,187.0,92.0,0.5508982035928144,entropy,10.0,,10.0,2.0,0.0,balanced,5.956521739130435,2.2646289814096376,0.0,9.0,,,,,,,,,,,,,,,0,1,0,2
kdr,KDR,Decision Tree,DT,MACCS,OOD holdout,3,0.8549988286117637,0.9902,0.9355,-0.08050117138823631,0.05469999999999997,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_maccs,maccs,167,20.0,1013.0,507.0,120.0,0.718562874251497,entropy,20.0,sqrt,2.0,20.0,0.0001,,6.258333333333334,2.4477739320088823,0.0,15.0,,,,,,,,,,,,,,,0,1,0,2
kdr,KDR,Decision Tree,DT,MACCS,Random shuffle,1,0.9489327778999926,0.986,0.5362,0.41273277789999263,0.4498,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_maccs,maccs,167,7.0,47.0,24.0,21.0,0.12574850299401197,entropy,7.0,,10.0,2.0,0.0,balanced,3.1904761904761907,1.467717619754518,0.0,6.0,,,,,,,,,,,,,,,0,1,1,2
kdr,KDR,Decision Tree,DT,MACCS,Random shuffle,2,0.2846516118571215,0.4241,0.6924,-0.4077483881428785,-0.26830000000000004,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_maccs,maccs,167,15.0,67.0,34.0,29.0,0.17365269461077845,gini,15.0,sqrt,2.0,20.0,0.0,,6.896551724137931,3.252000207683402,0.0,13.0,,,,,,,,,,,,,,,0,1,1,2
kdr,KDR,Decision Tree,DT,MACCS,Random shuffle,3,0.9563014907463334,0.9865,0.6312,0.32510149074633343,0.35530000000000006,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_maccs,maccs,167,14.0,59.0,30.0,26.0,0.15568862275449102,entropy,15.0,log2,1.0,5.0,0.01,balanced,4.8076923076923075,3.442039095666212,0.0,13.0,,,,,,,,,,,,,,,0,1,1,2
kdr,KDR,Logistic Regression,LR,ECFP4,OOD holdout,1,0.8840998974588312,0.9938,0.9544,-0.07030010254116881,0.03939999999999999,LogisticRegression,lr_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,184.2143961929944,7.266730189502175,0.1376134759268539,[-2.3320367555793076],0.1,elasticnet,0.0,False,,,1,0,0,2
kdr,KDR,Logistic Regression,LR,ECFP4,OOD holdout,2,0.8092863551502746,0.6288,0.968,-0.1587136448497254,-0.33919999999999995,LogisticRegression,lr_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,181.68182091828848,7.144868327688647,0.13996059187328627,[-2.2790959096187065],0.1,elasticnet,0.0,False,,,1,0,0,2
kdr,KDR,Logistic Regression,LR,ECFP4,OOD holdout,3,0.9095420179752793,0.9868,0.9465,-0.03695798202472067,0.0403,LogisticRegression,lr_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,190.0275052291542,7.5157838994780475,0.13305331996965047,[-2.197492310126611],0.1,elasticnet,0.0,False,,,1,0,0,2
kdr,KDR,Logistic Regression,LR,ECFP4,Random shuffle,1,0.9848833064923053,0.9927,0.5711,0.4137833064923052,0.4216,LogisticRegression,lr_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,886.0,0.134765625,34.93737034771835,1.7272841180563527,0.578943550482744,[0.062147956350138],0.05,elasticnet,0.0,False,,,1,0,1,2
kdr,KDR,Logistic Regression,LR,ECFP4,Random shuffle,2,0.3114601364843774,0.8746,0.7162,-0.4047398635156225,0.1584000000000001,LogisticRegression,lr_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,158.0,0.845703125,51.521978925436976,5.295057053454274,0.18885537774284072,[-1.4025814267183805],1.0,elasticnet,0.5,False,,,1,0,1,2
kdr,KDR,Logistic Regression,LR,ECFP4,Random shuffle,3,0.9714824867949177,0.989,0.6534,0.3180824867949177,0.3356,LogisticRegression,lr_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,846.0,0.173828125,15.354580621194426,0.834952237751191,1.197673297688666,[-0.7565173768681913],0.01,elasticnet,0.0,False,,,1,0,1,2
kdr,KDR,Logistic Regression,LR,MACCS,OOD holdout,1,0.8408045115323325,0.9442,0.8307,0.010104511532332494,0.11350000000000005,LogisticRegression,lr_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,110.0,0.3413173652694611,28.725754507295427,3.4992029939800697,0.285779362249167,[-3.4168157535657744],0.1,elasticnet,0.25,False,,,1,1,0,2
kdr,KDR,Logistic Regression,LR,MACCS,OOD holdout,2,0.7330261714277776,0.2116,0.8851,-0.1520738285722224,-0.6735,LogisticRegression,lr_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,150.0,0.10179640718562877,51.61230833555345,5.45213061320673,0.18341453478346498,[-4.331907523326835],0.5,elasticnet,0.0,False,,,1,1,0,2
kdr,KDR,Logistic Regression,LR,MACCS,OOD holdout,3,0.7880450084658097,0.9327,0.8135,-0.025454991534190285,0.11919999999999997,LogisticRegression,lr_kdr_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,77.0,0.5389221556886228,16.090594438812793,2.54123014671423,0.3935102065796693,[-1.5553299349366503],0.05,elasticnet,0.5,False,,,1,1,0,2
kdr,KDR,Logistic Regression,LR,MACCS,Random shuffle,1,0.9646871049594635,0.9713,0.5261,0.4385871049594635,0.44520000000000004,LogisticRegression,lr_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,40.0,0.7604790419161677,8.2023114308589,1.8236393950247647,0.5483540236782504,[-0.18768596836754453],0.1,elasticnet,0.25,False,,,1,1,1,2
kdr,KDR,Logistic Regression,LR,MACCS,Random shuffle,2,0.24040891672846895,0.3425,0.7433,-0.502891083271531,-0.40079999999999993,LogisticRegression,lr_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,134.0,0.19760479041916168,1.3063420947783904,0.1678738507114796,5.956853886187873,[-2.1446501217306557],0.005,elasticnet,0.0,False,,,1,1,1,2
kdr,KDR,Logistic Regression,LR,MACCS,Random shuffle,3,0.956219979681176,0.9808,0.5444,0.411819979681176,0.4364,LogisticRegression,lr_kdr_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,140.0,0.16167664670658688,13.717338324052463,1.6239863118977311,0.6157687368875889,[-2.4544297222287015],0.05,elasticnet,0.0,False,,,1,1,1,2
kdr,KDR,Logistic Regression,LR,RDKit desc,OOD holdout,1,0.8535561471870436,0.9671,0.8776,-0.0240438528129564,0.08949999999999991,LogisticRegression,lr_kdr_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,205.0,0.055299539170506895,66.7246834616085,6.751140097786365,0.1481231296515222,[0.29611538807054966],1.0,elasticnet,0.0,False,,,1,2,0,2
kdr,KDR,Logistic Regression,LR,RDKit desc,OOD holdout,2,0.7658984245951737,0.2898,0.907,-0.14110157540482637,-0.6172,LogisticRegression,lr_kdr_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,205.0,0.055299539170506895,75.55351628326935,7.635538677465588,0.13096652931000843,[0.12276939392216776],5.0,elasticnet,0.0,False,,,1,2,0,2
kdr,KDR,Logistic Regression,LR,RDKit desc,OOD holdout,3,0.8025038279291461,0.9439,0.8481,-0.04559617207085387,0.0958,LogisticRegression,lr_kdr_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,205.0,0.055299539170506895,54.2713899435813,5.316086726714038,0.18810829307484167,[0.9194072455044757],0.5,elasticnet,0.0,False,,,1,2,0,2
kdr,KDR,Logistic Regression,LR,RDKit desc,Random shuffle,1,0.9682138911447626,0.9887,0.6049,0.36331389114476265,0.38380000000000003,LogisticRegression,lr_kdr_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,62.0,0.7142857142857143,7.179425657522459,1.3179332772156838,0.7587637532854761,[0.8693663584482957],0.05,elasticnet,0.25,False,,,1,2,1,2
kdr,KDR,Logistic Regression,LR,RDKit desc,Random shuffle,2,0.34270623640537473,0.7843,0.7498,-0.4070937635946253,0.034499999999999975,LogisticRegression,lr_kdr_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,balanced,,,,,"[1, 217]",217.0,69.0,0.6820276497695852,23.53354948833524,3.808881287270816,0.2625442812675665,[-2.8936444867609312],0.5,elasticnet,1.0,False,,,1,2,1,2
kdr,KDR,Logistic Regression,LR,RDKit desc,Random shuffle,3,0.9454528770581307,0.9746,0.5621,0.3833528770581307,0.4125,LogisticRegression,lr_kdr_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,185.0,0.14746543778801846,3.5845153995278833,0.33859609282898206,2.9533713506407158,[2.222482169492463],0.005,elasticnet,0.0,False,,,1,2,1,2
kdr,KDR,Linear SVM,SVM,ECFP4,OOD holdout,1,0.8853267302021868,0.9916,0.9393,-0.05397326979781325,0.05230000000000001,SVC,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,138.0027895502857,5.420885869152514,0.18447169413591386,[-1.420529560223555],0.05,,,,"[885, 1434]",2319.0,2,0,0,2
kdr,KDR,Linear SVM,SVM,ECFP4,OOD holdout,2,0.816600601380899,0.5914,0.9548,-0.13819939861910102,-0.36339999999999995,SVC,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,136.17967934014558,5.370060278072217,0.18621764900541996,[-1.4627521326954318],0.05,,,,"[1034, 1263]",2297.0,2,0,0,2
kdr,KDR,Linear SVM,SVM,ECFP4,OOD holdout,3,0.9025698804843686,0.9709,0.938,-0.03543011951563135,0.03290000000000004,SVC,svm_linear_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,145.5258189394077,5.748497447009733,0.17395850119411332,[-1.7823183403971148],0.05,,,,"[960, 1698]",2658.0,2,0,0,2
kdr,KDR,Linear SVM,SVM,ECFP4,Random shuffle,1,0.983483640083808,0.985,0.524,0.45948364008380793,0.46099999999999997,SVC,svm_linear_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,817.0,0.2021484375,15.23410119269699,0.7712032991133011,1.2966749508848838,[-0.452241297952034],0.005,,,,"[68, 218]",286.0,2,0,1,2
