dataset,model,fingerprint,fold,top_k,n_overlap,overlap_percent
drd2,Linear SVM,ECFP4,2,100,28,28.0
drd2,Linear SVM,ECFP4,2,150,56,37.33
drd2,Linear SVM,ECFP4,2,200,88,44.0
drd2,Linear SVM,ECFP4,3,10,1,10.0
drd2,Linear SVM,ECFP4,3,20,4,20.0
drd2,Linear SVM,ECFP4,3,50,13,26.0
drd2,Linear SVM,ECFP4,3,100,34,34.0
drd2,Linear SVM,ECFP4,3,150,57,38.0
drd2,Linear SVM,ECFP4,3,200,82,41.0
drd2,Linear SVM,MACCS,1,10,4,40.0
drd2,Linear SVM,MACCS,1,20,9,45.0
drd2,Linear SVM,MACCS,1,50,35,70.0
drd2,Linear SVM,MACCS,1,100,82,82.0
drd2,Linear SVM,MACCS,1,150,148,98.67
drd2,Linear SVM,MACCS,1,200,167,83.5
drd2,Linear SVM,MACCS,2,10,9,90.0
drd2,Linear SVM,MACCS,2,20,19,95.0
drd2,Linear SVM,MACCS,2,50,49,98.0
drd2,Linear SVM,MACCS,2,100,97,97.0
drd2,Linear SVM,MACCS,2,150,149,99.33
drd2,Linear SVM,MACCS,2,200,167,83.5
drd2,Linear SVM,MACCS,3,10,10,100.0
drd2,Linear SVM,MACCS,3,20,20,100.0
drd2,Linear SVM,MACCS,3,50,50,100.0
drd2,Linear SVM,MACCS,3,100,100,100.0
drd2,Linear SVM,MACCS,3,150,147,98.0
drd2,Linear SVM,MACCS,3,200,167,83.5
drd2,Logistic Regression,ECFP4,1,10,6,60.0
drd2,Logistic Regression,ECFP4,1,20,8,40.0
drd2,Logistic Regression,ECFP4,1,50,26,52.0
drd2,Logistic Regression,ECFP4,1,100,53,53.0
drd2,Logistic Regression,ECFP4,1,150,88,58.67
drd2,Logistic Regression,ECFP4,1,200,126,63.0
drd2,Logistic Regression,ECFP4,2,10,6,60.0
drd2,Logistic Regression,ECFP4,2,20,11,55.0
drd2,Logistic Regression,ECFP4,2,50,32,64.0
drd2,Logistic Regression,ECFP4,2,100,64,64.0
