feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
229,ecfp4_bit_229,0.49443554610087226,0.49443554610087226,0.00543206995558772,positive,1
626,ecfp4_bit_626,0.4849445482645545,0.4849445482645545,0.005327797994152546,positive,2
443,ecfp4_bit_443,0.44878468132138877,0.44878468132138877,0.004930530992681849,positive,3
287,ecfp4_bit_287,0.4362860994950664,0.4362860994950664,0.004793216490596335,positive,4
486,ecfp4_bit_486,0.4218164129728734,0.4218164129728734,0.004634246630836411,positive,5
116,ecfp4_bit_116,0.408942009482466,0.408942009482466,0.00449280319913361,positive,6
434,ecfp4_bit_434,0.40265303932629454,0.40265303932629454,0.004423710015792869,positive,7
612,ecfp4_bit_612,0.4014910244221307,0.4014910244221307,0.004410943647560182,positive,8
650,ecfp4_bit_650,0.39870084101225717,0.39870084101225717,0.004380289558082034,positive,9
392,ecfp4_bit_392,0.39356662815969,0.39356662815969,0.004323883008023166,positive,10
783,ecfp4_bit_783,0.39121708281837736,0.39121708281837736,0.0042980699475373575,positive,11
547,ecfp4_bit_547,0.36917935930234963,0.36917935930234963,0.004055954556067221,positive,12
836,ecfp4_bit_836,0.3626837744007755,0.3626837744007755,0.003984591419120324,positive,13
114,ecfp4_bit_114,-0.34636691301843,0.34636691301843,0.003805327745253224,negative,14
831,ecfp4_bit_831,-0.33703407902025556,0.33703407902025556,0.0037027934360560695,negative,15
335,ecfp4_bit_335,0.3361451925848381,0.3361451925848381,0.003693027768239833,positive,16
164,ecfp4_bit_164,0.33497468535404273,0.33497468535404273,0.0036801680998536433,positive,17
644,ecfp4_bit_644,0.3324781005819422,0.3324781005819422,0.0036527396043924,positive,18
304,ecfp4_bit_304,0.3321095362992144,0.3321095362992144,0.0036486904073176818,positive,19
954,ecfp4_bit_954,0.32818425672521245,0.32818425672521245,0.003605565689830505,positive,20
692,ecfp4_bit_692,-0.31672952472818877,0.31672952472818877,0.0034797193464172274,negative,21
616,ecfp4_bit_616,0.3151109377383964,0.3151109377383964,0.0034619368916016455,positive,22
456,ecfp4_bit_456,0.307974925239119,0.307974925239119,0.003383537756657341,positive,23
798,ecfp4_bit_798,0.3045935828902493,0.3045935828902493,0.0033463889546998375,positive,24
314,ecfp4_bit_314,-0.3037453135495803,0.3037453135495803,0.003337069522802127,negative,25
