mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
2.0737982988357544,0.04480326175689697,0.42472076416015625,0.09569215774536133,0.001,,"{'C': 0.001, 'class_weight': None}",0.22961844701090833,0.2639883048348063,0.2468033759228573,0.017184928911948977,1,0.34644052134329095,0.2752330519333164,0.31083678663830366,0.03560373470498729
11.674052000045776,2.3558549880981445,5.011156797409058,0.38287830352783203,0.001,balanced,"{'C': 0.001, 'class_weight': 'balanced'}",0.22437362124687513,0.2644896928965765,0.24443165707172582,0.020058035824850676,3,0.2895028535202392,0.2317332188294748,0.260618036174857,0.028884817345382188
2.640104293823242,0.04585981369018555,0.5761326551437378,0.06368958950042725,0.005,,"{'C': 0.005, 'class_weight': None}",0.23831309082778016,0.2516557348760352,0.2449844128519077,0.006671322024127527,2,0.35609601487367704,0.2825880160635091,0.3193420154685931,0.036753999405083976
10.137426972389221,0.14251983165740967,4.435969710350037,1.7205928564071655,0.005,balanced,"{'C': 0.005, 'class_weight': 'balanced'}",0.20528240549248378,0.2538740507738597,0.22957822813317175,0.02429582264068797,9,0.2877516522585515,0.25228376465056335,0.2700177084545574,0.017733943803994068
2.812091827392578,0.08371496200561523,0.5892339944839478,0.08360278606414795,0.01,,"{'C': 0.01, 'class_weight': None}",0.230489347069756,0.2551357192916232,0.2428125331806896,0.01232318611093361,5,0.3538289919727219,0.27615689270221166,0.3149929423374668,0.03883604963525511
11.357488870620728,0.3590986728668213,4.744736075401306,0.39557945728302,0.01,balanced,"{'C': 0.01, 'class_weight': 'balanced'}",0.19912278461757207,0.2219060891538854,0.21051443688572874,0.011391652268156666,10,0.28713755456558354,0.24105696615639247,0.264097260360988,0.023040294204595538
3.081931710243225,0.14528977870941162,0.5821770429611206,0.12995827198028564,0.05,,"{'C': 0.05, 'class_weight': None}",0.23404710491035294,0.2531236104134048,0.2435853576618789,0.009538252751525936,4,0.36171984829686743,0.27654094492369174,0.3191303966102796,0.04258945168658784
7.085137724876404,0.25354063510894775,2.9783997535705566,0.016433238983154297,0.05,balanced,"{'C': 0.05, 'class_weight': 'balanced'}",0.16602058477872486,0.1608139823819648,0.16341728358034482,0.002603301198380037,11,0.24419140051493093,0.20754519920523837,0.22586829986008466,0.018323100654846283
3.0200157165527344,0.037404537200927734,0.5077610015869141,0.07476544380187988,0.1,,"{'C': 0.1, 'class_weight': None}",0.23474614931845528,0.24279431817314448,0.23877023374579986,0.004024084427344601,8,0.3607749061919419,0.2772467098942539,0.3190108080430979,0.04176409814884402
9.28862178325653,1.3188563585281372,3.067014217376709,0.591712474822998,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.16583256614191094,0.14676018575357783,0.15629637594774437,0.009536190194166558,12,0.24238181464695474,0.19752813959309418,0.21995497712002446,0.022426837526930282
3.0507062673568726,0.0885540246963501,0.6626536846160889,0.26671814918518066,0.5,,"{'C': 0.5, 'class_weight': None}",0.23424183604849114,0.2451905862117822,0.23971621113013666,0.005474375081645527,7,0.363285113883508,0.3005935105815847,0.33193931223254636,0.03134580165096165
8.81077790260315,0.38829541206359863,2.597383141517639,0.14163386821746826,0.5,balanced,"{'C': 0.5, 'class_weight': 'balanced'}",0.14414671052307615,0.14424279494076997,0.14419475273192306,4.804220884691013e-05,13,0.2163731685639172,0.19555994286704997,0.20596655571548358,0.01040661284843361
3.5919902324676514,0.5355114936828613,0.6999276876449585,0.3110414743423462,1.0,,"{'C': 1.0, 'class_weight': None}",0.23412331579279097,0.25133313057270334,0.24272822318274717,0.008604907389956187,6,0.363124482680632,0.2807773015358563,0.3219508921082441,0.04117359057238787
10.896162033081055,0.43682241439819336,2.7357910871505737,0.17750895023345947,1.0,balanced,"{'C': 1.0, 'class_weight': 'balanced'}",0.14189070576223697,0.14590136766326656,0.14389603671275175,0.0020053309505147915,14,0.20892208231747356,0.197331973003732,0.20312702766060278,0.005795054656870774
