mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.34743523597717285,0.0,0.055455923080444336,0.0,0.001,,"{'C': 0.001, 'class_weight': None}",0.8448072342629676,0.8448072342629676,0.0,25,0.8666946829879936,0.8666946829879936,0.0
0.6731810569763184,0.0,0.0969533920288086,0.0,0.001,balanced,"{'C': 0.001, 'class_weight': 'balanced'}",0.8212258909162422,0.8212258909162422,0.0,28,0.8567109166131881,0.8567109166131881,0.0
0.3151853084564209,0.0,0.052097320556640625,0.0,0.005,,"{'C': 0.005, 'class_weight': None}",0.8483434576281627,0.8483434576281627,0.0,24,0.876024873112599,0.876024873112599,0.0
0.44954919815063477,0.0,0.07792472839355469,0.0,0.005,balanced,"{'C': 0.005, 'class_weight': 'balanced'}",0.837146972623856,0.837146972623856,0.0,27,0.8763626057177992,0.8763626057177992,0.0
0.32451772689819336,0.0,0.0528559684753418,0.0,0.01,,"{'C': 0.01, 'class_weight': None}",0.8496869694521115,0.8496869694521115,0.0,23,0.8794398152239564,0.8794398152239564,0.0
0.5856752395629883,0.0,0.09320497512817383,0.0,0.01,balanced,"{'C': 0.01, 'class_weight': 'balanced'}",0.8438093675424178,0.8438093675424178,0.0,26,0.8908554747822073,0.8908554747822073,0.0
0.4726264476776123,0.0,0.04730486869812012,0.0,0.05,,"{'C': 0.05, 'class_weight': None}",0.8593495483746709,0.8593495483746709,0.0,21,0.8959895826153479,0.8959895826153479,0.0
0.40402984619140625,0.0,0.06321048736572266,0.0,0.05,balanced,"{'C': 0.05, 'class_weight': 'balanced'}",0.8555500591914516,0.8555500591914516,0.0,22,0.9102597537717227,0.9102597537717227,0.0
0.49391913414001465,0.0,0.05973625183105469,0.0,0.1,,"{'C': 0.1, 'class_weight': None}",0.8679523139143588,0.8679523139143588,0.0,18,0.9020220373180676,0.9020220373180676,0.0
0.5362443923950195,0.0,0.07865524291992188,0.0,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.8624672790574741,0.8624672790574741,0.0,20,0.9165453831554715,0.9165453831554715,0.0
0.4381093978881836,0.0,0.08791685104370117,0.0,0.25,,"{'C': 0.25, 'class_weight': None}",0.867092057971327,0.867092057971327,0.0,19,0.9072833580051728,0.9072833580051728,0.0
0.39499759674072266,0.0,0.053191184997558594,0.0,0.25,balanced,"{'C': 0.25, 'class_weight': 'balanced'}",0.8702832230603854,0.8702832230603854,0.0,16,0.9215949173046822,0.9215949173046822,0.0
0.5230934619903564,0.0,0.03189396858215332,0.0,0.5,,"{'C': 0.5, 'class_weight': None}",0.8701067500983449,0.8701067500983449,0.0,17,0.9112186871853978,0.9112186871853978,0.0
0.4607367515563965,0.0,0.057509660720825195,0.0,0.5,balanced,"{'C': 0.5, 'class_weight': 'balanced'}",0.8760616248209669,0.8760616248209669,0.0,7,0.9256110445461672,0.9256110445461672,0.0
0.49894142150878906,0.0,0.055864810943603516,0.0,1.0,,"{'C': 1.0, 'class_weight': None}",0.8753047530201936,0.8753047530201936,0.0,11,0.9144441434674595,0.9144441434674595,0.0
0.515308141708374,0.0,0.05454516410827637,0.0,1.0,balanced,"{'C': 1.0, 'class_weight': 'balanced'}",0.8759870905359384,0.8759870905359384,0.0,8,0.928737253338888,0.928737253338888,0.0
0.6080045700073242,0.0,0.04411768913269043,0.0,2.0,,"{'C': 2.0, 'class_weight': None}",0.8749285843907166,0.8749285843907166,0.0,12,0.9171599620169232,0.9171599620169232,0.0
0.7030026912689209,0.0,0.05319857597351074,0.0,2.0,balanced,"{'C': 2.0, 'class_weight': 'balanced'}",0.8764641422934965,0.8764641422934965,0.0,6,0.9303528039901731,0.9303528039901731,0.0
1.5707981586456299,0.0,0.028592824935913086,0.0,5.0,,"{'C': 5.0, 'class_weight': None}",0.874167401489231,0.874167401489231,0.0,14,0.9199318026697192,0.9199318026697192,0.0
1.1375432014465332,0.0,0.051195383071899414,0.0,5.0,balanced,"{'C': 5.0, 'class_weight': 'balanced'}",0.8774773590295204,0.8774773590295204,0.0,5,0.9321197793948265,0.9321197793948265,0.0
2.6273891925811768,0.0,0.04920768737792969,0.0,10.0,,"{'C': 10.0, 'class_weight': None}",0.8736658388358388,0.8736658388358388,0.0,15,0.9214200195903897,0.9214200195903897,0.0
1.9558441638946533,0.0,0.05144953727722168,0.0,10.0,balanced,"{'C': 10.0, 'class_weight': 'balanced'}",0.8782311112694616,0.8782311112694616,0.0,3,0.9343740725600647,0.9343740725600647,0.0
5.470916271209717,0.0,0.03899216651916504,0.0,25.0,,"{'C': 25.0, 'class_weight': None}",0.8746045612950285,0.8746045612950285,0.0,13,0.9221284477451327,0.9221284477451327,0.0
4.024413585662842,0.0,0.03625011444091797,0.0,25.0,balanced,"{'C': 25.0, 'class_weight': 'balanced'}",0.8788779224817541,0.8788779224817541,0.0,1,0.9344155192926773,0.9344155192926773,0.0
10.47589111328125,0.0,0.039800405502319336,0.0,50.0,,"{'C': 50.0, 'class_weight': None}",0.8757288787399927,0.8757288787399927,0.0,9,0.9237816769041617,0.9237816769041617,0.0
14.800082206726074,0.0,0.05845308303833008,0.0,50.0,balanced,"{'C': 50.0, 'class_weight': 'balanced'}",0.8780004443924767,0.8780004443924767,0.0,4,0.9345577800284176,0.9345577800284176,0.0
17.16750454902649,0.0,0.03148531913757324,0.0,100.0,,"{'C': 100.0, 'class_weight': None}",0.8754131220659578,0.8754131220659578,0.0,10,0.9240305914518957,0.9240305914518957,0.0
24.316237211227417,0.0,0.05171847343444824,0.0,100.0,balanced,"{'C': 100.0, 'class_weight': 'balanced'}",0.878435393512391,0.878435393512391,0.0,2,0.9346845174600598,0.9346845174600598,0.0
