model,model_short,fingerprint,ood_inner_mean,random_inner_mean,delta_inner,ood_test_mean,random_test_mean,delta_test,ood_inner_test_gap,random_inner_test_gap,delta_inner_test_gap,ood_train_test_gap,random_train_test_gap,delta_train_test_gap,model_order,fingerprint_order
Decision Tree,DT,ECFP4,0.7641779627552131,0.8885405840353817,0.12436262128016862,0.7164,0.6773666666666666,-0.039033333333333475,0.04777796275521314,0.21117391736871502,0.16339595461350187,0.13363333333333335,0.2510333333333334,0.11740000000000003,0,0
Decision Tree,DT,MACCS,0.7683902232492948,0.8880693793999389,0.11967915615064406,0.6802,0.6739333333333333,-0.006266666666666754,0.08819022324929493,0.2141360460666056,0.12594582281731068,0.18633333333333335,0.2763,0.08996666666666664,0,1
Logistic Regression,LR,ECFP4,0.7514395197359262,0.9155292318627981,0.16408971212687196,0.7572000000000001,0.7676666666666666,0.010466666666666513,-0.005760480264073831,0.14786256519613142,0.15362304546020525,0.18686666666666665,0.2126,0.025733333333333358,1,0
Logistic Regression,LR,MACCS,0.7377439124235269,0.8707470822424641,0.13300316981893723,0.7460666666666667,0.7516333333333334,0.00556666666666672,-0.00832275424313981,0.11911374890913085,0.12743650315227065,0.16190000000000002,0.16093333333333334,-0.0009666666666666712,1,1
Logistic Regression,LR,RDKit desc,0.7642563961178249,0.8774979862662602,0.11324159014843527,0.7882666666666666,0.7713,-0.016966666666666574,-0.02401027054884175,0.10619798626626024,0.130208256815102,0.11706666666666665,0.15893333333333334,0.04186666666666669,1,2
Linear SVM,SVM,ECFP4,0.7376815508338447,0.9093387547248164,0.17165720389097172,0.7532333333333333,0.7724666666666667,0.019233333333333436,-0.015551782499488557,0.13687208805814974,0.15242387055763829,0.18990000000000004,0.20340000000000003,0.013499999999999984,2,0
Linear SVM,SVM,MACCS,0.7458904485088079,0.8674192098947242,0.12152876138591628,0.7393666666666667,0.741,0.0016333333333332645,0.006523781842141234,0.12641920989472413,0.1198954280525829,0.1592333333333333,0.16399999999999995,0.004766666666666641,2,1
