feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance
48,maccs_bit_48,0.16656035377115402,0.0,True,0.16656035377115402,1
133,maccs_bit_133,0.06468981559315007,1.0,True,0.06468981559315007,2
144,maccs_bit_144,0.032229178738496005,3.0,True,0.032229178738496005,3
59,maccs_bit_59,0.03111672498750644,2.0,True,0.03111672498750644,4
14,maccs_bit_14,0.02882295330065253,1.0,True,0.02882295330065253,5
140,maccs_bit_140,0.020925875336796778,3.0,True,0.020925875336796778,6
38,maccs_bit_38,0.020231293273195654,4.0,True,0.020231293273195654,7
89,maccs_bit_89,0.017778351954123906,8.0,True,0.017778351954123906,8
104,maccs_bit_104,0.01775055309277335,5.0,True,0.01775055309277335,9
80,maccs_bit_80,0.016158830543132073,6.0,True,0.016158830543132073,10
53,maccs_bit_53,0.01407670001010699,6.0,True,0.01407670001010699,11
125,maccs_bit_125,0.01392086481581426,5.0,True,0.01392086481581426,12
76,maccs_bit_76,0.01331741159763434,8.0,True,0.01331741159763434,13
119,maccs_bit_119,0.013197728788007014,8.0,True,0.013197728788007014,14
118,maccs_bit_118,0.013017680384973206,7.0,True,0.013017680384973206,15
109,maccs_bit_109,0.012821231263097416,5.0,True,0.012821231263097416,16
143,maccs_bit_143,0.012529132518566294,6.0,True,0.012529132518566294,17
98,maccs_bit_98,0.012454021477007854,4.0,True,0.012454021477007854,18
71,maccs_bit_71,0.01236059841999453,4.0,True,0.01236059841999453,19
101,maccs_bit_101,0.01197778675011912,6.0,True,0.01197778675011912,20
130,maccs_bit_130,0.011514617570863108,5.0,True,0.011514617570863108,21
114,maccs_bit_114,0.010258809880315382,2.0,True,0.010258809880315382,22
79,maccs_bit_79,0.010235092692258169,7.0,True,0.010235092692258169,23
57,maccs_bit_57,0.009999208732541441,6.0,True,0.009999208732541441,24
110,maccs_bit_110,0.00997556499713225,8.0,True,0.00997556499713225,25
163,maccs_bit_163,0.009781694244402093,2.0,True,0.009781694244402093,26
145,maccs_bit_145,0.009531912625283802,7.0,True,0.009531912625283802,27
105,maccs_bit_105,0.009374297843905014,9.0,True,0.009374297843905014,28
93,maccs_bit_93,0.008894114965200236,7.0,True,0.008894114965200236,29
11,maccs_bit_11,0.008675491310401812,6.0,True,0.008675491310401812,30
151,maccs_bit_151,0.00864282532864304,5.0,True,0.00864282532864304,31
75,maccs_bit_75,0.008464056084100714,5.0,True,0.008464056084100714,32
113,maccs_bit_113,0.008449091318910426,8.0,True,0.008449091318910426,33
123,maccs_bit_123,0.008387789110051357,4.0,True,0.008387789110051357,34
161,maccs_bit_161,0.008379762724578639,5.0,True,0.008379762724578639,35
83,maccs_bit_83,0.008377598962608042,5.0,True,0.008377598962608042,36
87,maccs_bit_87,0.008174359579268804,4.0,True,0.008174359579268804,37
135,maccs_bit_135,0.0076836841173230155,3.0,True,0.0076836841173230155,38
81,maccs_bit_81,0.007656705964163746,8.0,True,0.007656705964163746,39
128,maccs_bit_128,0.0075794818097553555,11.0,True,0.0075794818097553555,40
158,maccs_bit_158,0.007424256325081949,5.0,True,0.007424256325081949,41
124,maccs_bit_124,0.00736351659817092,10.0,True,0.00736351659817092,42
129,maccs_bit_129,0.006665431208552367,11.0,True,0.006665431208552367,43
95,maccs_bit_95,0.006532170368754178,7.0,True,0.006532170368754178,44
26,maccs_bit_26,0.0065206841279856565,5.0,True,0.0065206841279856565,45
115,maccs_bit_115,0.005957880651075797,6.0,True,0.005957880651075797,46
132,maccs_bit_132,0.005955059206265173,4.0,True,0.005955059206265173,47
67,maccs_bit_67,0.005800479928923964,6.0,True,0.005800479928923964,48
139,maccs_bit_139,0.005747610239365793,9.0,True,0.005747610239365793,49
106,maccs_bit_106,0.005740176488469985,9.0,True,0.005740176488469985,50
97,maccs_bit_97,0.00565734389503186,8.0,True,0.00565734389503186,51
94,maccs_bit_94,0.005636223169196247,6.0,True,0.005636223169196247,52
154,maccs_bit_154,0.005530090470468487,8.0,True,0.005530090470468487,53
117,maccs_bit_117,0.0054711144640219676,8.0,True,0.0054711144640219676,54
61,maccs_bit_61,0.005414075004162891,2.0,True,0.005414075004162891,55
120,maccs_bit_120,0.0053016214164222,7.0,True,0.0053016214164222,56
107,maccs_bit_107,0.005292130672114612,8.0,True,0.005292130672114612,57
112,maccs_bit_112,0.005255066580900729,9.0,True,0.005255066580900729,58
88,maccs_bit_88,0.004990825095366461,9.0,True,0.004990825095366461,59
