mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
4.604321241378784,0.0,0.016685962677001953,0.0,0.01,,0.0,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.2643754263056992,0.2643754263056992,0.0,6,0.3464057231103433,0.3464057231103433,0.0
6.803741931915283,0.0,0.013899564743041992,0.0,0.01,,0.5,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.5}",0.20420533293838908,0.20420533293838908,0.0,29,0.21957193763684643,0.21957193763684643,0.0
5.885425090789795,0.0,0.016852378845214844,0.0,0.01,,1.0,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.18219133688551542,0.18219133688551542,0.0,30,0.18383566862772271,0.18383566862772271,0.0
3.9599881172180176,0.0,0.012748479843139648,0.0,0.01,balanced,0.0,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.2387872527449902,0.2387872527449902,0.0,14,0.3166619985879045,0.3166619985879045,0.0
7.2861487865448,0.0,0.013926982879638672,0.0,0.01,balanced,0.5,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5}",0.2228560751480195,0.2228560751480195,0.0,27,0.2664186907305634,0.2664186907305634,0.0
6.253954172134399,0.0,0.012053728103637695,0.0,0.01,balanced,1.0,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.2100423646472885,0.2100423646472885,0.0,28,0.23873258348334153,0.23873258348334153,0.0
19.358689785003662,0.0,0.011431694030761719,0.0,0.1,,0.0,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.2666866467862103,0.2666866467862103,0.0,2,0.3960566849134742,0.3960566849134742,0.0
29.12845778465271,0.0,0.013860702514648438,0.0,0.1,,0.5,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.5}",0.26505090704311357,0.26505090704311357,0.0,5,0.3635228917466726,0.3635228917466726,0.0
23.43642258644104,0.0,0.011374711990356445,0.0,0.1,,1.0,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.2593499210233481,0.2593499210233481,0.0,13,0.3273950985413193,0.3273950985413193,0.0
20.063873052597046,0.0,0.011466503143310547,0.0,0.1,balanced,0.0,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.23584394404110381,0.23584394404110381,0.0,15,0.32029882754034733,0.32029882754034733,0.0
