model,model_short,fingerprint,ood_inner_mean,random_inner_mean,delta_inner,ood_test_mean,random_test_mean,delta_test,ood_inner_test_gap,random_inner_test_gap,delta_inner_test_gap,ood_train_test_gap,random_train_test_gap,delta_train_test_gap,model_order,fingerprint_order
Decision Tree,DT,ECFP4,0.09432122894367416,0.36746387058018176,0.2731426416365076,0.04666666666666667,0.05960000000000001,0.012933333333333338,0.04765456227700748,0.3078638705801817,0.26020930830317424,0.2523,0.3831,0.13079999999999997,0,0
Decision Tree,DT,MACCS,0.1794338220699275,0.3892591645466697,0.2098253424767422,0.07776666666666666,0.05363333333333334,-0.024133333333333326,0.10166715540326084,0.3356258312133364,0.23395867581007557,0.2668,0.4543,0.1875,0,1
Logistic Regression,LR,ECFP4,0.12846400696859225,0.47527809304271074,0.34681408607411846,0.057666666666666665,0.07136666666666668,0.01370000000000001,0.07079734030192558,0.4039114263760441,0.3331140860741185,0.39576666666666666,0.5283666666666667,0.1326,1,0
Logistic Regression,LR,MACCS,0.17530824783159482,0.34235882121544764,0.16705057338385282,0.11286666666666667,0.10013333333333334,-0.012733333333333333,0.06244158116492815,0.24222548788211432,0.17978390671718616,0.11526666666666667,0.2647,0.1494333333333333,1,1
Logistic Regression,LR,RDKit desc,0.17206213677547053,0.3778560870409815,0.20579395026551098,0.08850000000000001,0.08873333333333333,0.0002333333333333215,0.08356213677547049,0.2891227537076482,0.2055606169321777,0.3353333333333333,0.32886666666666664,-0.006466666666666676,1,2
Linear SVM,SVM,ECFP4,0.09821349546275825,0.4333219527408719,0.3351084572781136,0.053233333333333334,0.07283333333333333,0.0196,0.044980162129424905,0.36048861940753857,0.31550845727811366,0.5505666666666668,0.5003333333333333,-0.05023333333333346,2,0
Linear SVM,SVM,MACCS,0.1629549439230761,0.2815595874264012,0.11860464350332509,0.10343333333333334,0.10610000000000001,0.0026666666666666783,0.05952161058974276,0.1754595874264012,0.11593797683665844,0.14253333333333332,0.15513333333333332,0.0126,2,1
