model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total
Logistic Regression,LR,ECFP4,OOD holdout,lr_hiv_hi_inner_ood_holdout_ecfp4,1,0.10248845807013461,0.07771151926336242,0.4052,0.0676,0.3027115419298654,0.03488845807013462,0.3376,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,105.0,0.8974609375,22.392328583239337,3.3012509791870976,0.3029154724389482,[-4.489898501538395],0.1,elasticnet,1.0,False,,
Logistic Regression,LR,ECFP4,OOD holdout,lr_hiv_hi_inner_ood_holdout_ecfp4,2,0.11764594928006691,0.3841534076544841,0.4263,0.0752,0.3086540507199331,0.04244594928006691,0.3511,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,397.5486400250085,15.379071559405823,0.06502343110487714,[-1.86241869088799],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,ECFP4,OOD holdout,lr_hiv_hi_inner_ood_holdout_ecfp4,3,0.16525761355557522,0.6496171988233373,0.5288,0.0302,0.3635423864444248,0.13505761355557522,0.49860000000000004,LogisticRegression,lr_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,974.0,0.048828125,167.78038331295852,8.996313530396803,0.11115664173121508,[-2.1023510831184846],0.1,elasticnet,1.0,False,,
Logistic Regression,LR,ECFP4,Random shuffle,lr_hiv_hi_random_shuffle_ecfp4,1,0.4507673460077076,0.6105083960069282,0.6006,0.0906,0.1498326539922924,0.3601673460077076,0.51,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,150.26284755578632,6.016560270497277,0.1662079252997076,[-4.800793790427608],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,ECFP4,Random shuffle,lr_hiv_hi_random_shuffle_ecfp4,2,0.4481927564739988,0.5419411415373042,0.5399,0.0954,0.09170724352600124,0.3527927564739988,0.44450000000000006,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,136.4234949065157,5.45100133522738,0.18345253257185024,[-4.548950227110985],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,ECFP4,Random shuffle,lr_hiv_hi_random_shuffle_ecfp4,3,0.5268741766464259,0.6602381014423176,0.6587,0.0281,0.13182582335357407,0.49877417664642587,0.6305999999999999,LogisticRegression,lr_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,158.15541872594156,6.300322325088762,0.15872203808015672,[-4.7980647626420145],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,MACCS,OOD holdout,lr_hiv_hi_inner_ood_holdout_maccs,1,0.12172407710528933,0.0780165947725756,0.1779,0.1984,0.05617592289471067,-0.07667592289471066,-0.02049999999999999,LogisticRegression,lr_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,164.0,0.017964071856287456,187.59770553668199,23.8358257165906,0.04195365463273898,[-3.645926386081779],10.0,elasticnet,1.0,False,,
Logistic Regression,LR,MACCS,OOD holdout,lr_hiv_hi_inner_ood_holdout_maccs,2,0.15848128462436223,0.08786818914328931,0.3097,0.0929,0.15121871537563775,0.06558128462436223,0.2168,LogisticRegression,lr_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,52.0,0.688622754491018,9.4565055197674,1.8785837141038193,0.5323159103809495,[-4.775127086100702],0.1,elasticnet,1.0,False,,
Logistic Regression,LR,MACCS,OOD holdout,lr_hiv_hi_inner_ood_holdout_maccs,3,0.2457193817651329,0.3197559569074124,0.1968,0.0473,-0.048919381765132885,0.19841938176513288,0.1495,LogisticRegression,lr_hiv_hi_inner_ood_holdout_maccs,maccs,167,,,,,,,,,,,,balanced,,,,,"[1, 167]",167.0,157.0,0.05988023952095811,57.068311214434296,6.778975818730595,0.14751490885053137,[-2.7602396996176277],0.1,elasticnet,1.0,False,,
Logistic Regression,LR,MACCS,Random shuffle,lr_hiv_hi_random_shuffle_maccs,1,0.3048429158812247,0.34770989323663554,0.3475,0.1634,0.04265708411877528,0.1414429158812247,0.18409999999999999,LogisticRegression,lr_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,162.0,0.029940119760479056,74.75032642216996,8.145832810694436,0.12276215621404946,[-4.910001189590654],5.0,elasticnet,0.5,False,,
Logistic Regression,LR,MACCS,Random shuffle,lr_hiv_hi_random_shuffle_maccs,2,0.33366340102810144,0.3288702385525533,0.341,0.0915,0.007336598971898589,0.24216340102810144,0.24950000000000003,LogisticRegression,lr_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,27.7628625515069,2.832371417473467,0.35306104059333443,[-4.794065627399635],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,MACCS,Random shuffle,lr_hiv_hi_random_shuffle_maccs,3,0.38857014673701684,0.39785615739726055,0.406,0.0455,0.017429853262983186,0.34307014673701686,0.36050000000000004,LogisticRegression,lr_hiv_hi_random_shuffle_maccs,maccs,167,,,,,,,,,,,,,,,,,"[1, 167]",167.0,163.0,0.0239520958083832,58.113847684064595,5.9851834516298155,0.16707925631380466,[-4.841177269215441],1.0,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,OOD holdout,lr_hiv_hi_inner_ood_holdout_rdkit_desc,1,0.14752408432396724,0.14256475499928756,0.3391,0.0889,0.19157591567603277,0.058624084323967235,0.2502,LogisticRegression,lr_hiv_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,213.0,0.018433179723502335,12.165715260998908,1.0814882928186291,0.9246517106475094,[-3.7591107845747938],0.01,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,OOD holdout,lr_hiv_hi_inner_ood_holdout_rdkit_desc,2,0.22697464104655096,0.21140043302267164,0.425,0.1356,0.19802535895344903,0.09137464104655096,0.2894,LogisticRegression,lr_hiv_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,215.0,0.009216589861751112,22.2471380225338,2.038211224294404,0.4906262844991367,[-4.209718131006026],0.1,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,OOD holdout,lr_hiv_hi_inner_ood_holdout_rdkit_desc,3,0.14168768495589332,0.5566094718809318,0.5074,0.041,0.3657123150441066,0.10068768495589331,0.4664,LogisticRegression,lr_hiv_hi_inner_ood_holdout_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,215.0,0.009216589861751112,57.084185005074964,5.372757141939548,0.18612417676467008,[-4.195934322974212],10.0,elasticnet,0.0,False,,
Logistic Regression,LR,RDKit desc,Random shuffle,lr_hiv_hi_random_shuffle_rdkit_desc,1,0.3018292287862727,0.360441966242357,0.3571,0.1002,0.055270771213727254,0.2016292287862727,0.25689999999999996,LogisticRegression,lr_hiv_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,133.0,0.3870967741935484,14.515771315598466,1.6813931787918328,0.594744889305755,[-3.8728506198518464],0.1,elasticnet,0.5,False,,
Logistic Regression,LR,RDKit desc,Random shuffle,lr_hiv_hi_random_shuffle_rdkit_desc,2,0.42206091456172107,0.3877172407187453,0.4025,0.1272,-0.019560914561721043,0.29486091456172103,0.2753,LogisticRegression,lr_hiv_hi_random_shuffle_rdkit_desc,rdkit_desc,217,,,,,,,,,,,,,,,,,"[1, 217]",217.0,98.0,0.5483870967741935,7.895699516887833,1.1493550956437453,0.8700531313518103,[-3.9974777288267815],0.1,elasticnet,1.0,False,,
