model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Logistic Regression,LR,ECFP4,Random shuffle,lr_sol_hi_random_shuffle_ecfp4,3,0.5487009331227756,0.8844911549377483,0.8782,0.4314,0.11730093312277556,0.4468,"{'C': 0.5, 'class_weight': None, 'l1_ratio': 1.0}",random_shuffle,58.8,1,0,1
Logistic Regression,LR,MACCS,OOD holdout,lr_sol_hi_inner_ood_holdout_maccs,1,0.49853235902097137,0.586287477264805,0.5944,0.4671,0.03143235902097136,0.12730000000000002,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.25}",holdout,4.0,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_sol_hi_inner_ood_holdout_maccs,2,0.4913384635466529,0.7483442357466881,0.7025,0.5009,-0.00956153645334712,0.2016,"{'C': 10.0, 'class_weight': None, 'l1_ratio': 0.5}",holdout,12.1,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_sol_hi_inner_ood_holdout_maccs,3,0.4706713568371286,0.7546281007159111,0.6885,0.4623,0.008371356837128585,0.2262,"{'C': 0.5, 'class_weight': None, 'l1_ratio': 0.0}",holdout,4.2,1,1,0
Logistic Regression,LR,MACCS,Random shuffle,lr_sol_hi_random_shuffle_maccs,1,0.48941708367387976,0.5331262290651928,0.52,0.4312,0.05821708367387973,0.08879999999999999,"{'C': 0.005, 'class_weight': 'balanced', 'l1_ratio': 0.0}",random_shuffle,8.2,1,1,1
Logistic Regression,LR,MACCS,Random shuffle,lr_sol_hi_random_shuffle_maccs,2,0.5552538648468112,0.5265646114966623,0.5388,0.4969,0.058353864846811154,0.04189999999999994,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.75}",random_shuffle,8.8,1,1,1
Logistic Regression,LR,MACCS,Random shuffle,lr_sol_hi_random_shuffle_maccs,3,0.5786669822949537,0.677091798321785,0.6717,0.4554,0.1232669822949537,0.21629999999999994,"{'C': 1.0, 'class_weight': 'balanced', 'l1_ratio': 0.0}",random_shuffle,8.7,1,1,1
Logistic Regression,LR,RDKit desc,OOD holdout,lr_sol_hi_inner_ood_holdout_rdkit_desc,1,0.6019502621745945,0.7985921868171006,0.745,0.6076,-0.005649737825405565,0.13739999999999997,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.25}",holdout,14.4,1,2,0
Logistic Regression,LR,RDKit desc,OOD holdout,lr_sol_hi_inner_ood_holdout_rdkit_desc,2,0.5823962447996424,0.7473025900654889,0.7056,0.6202,-0.037803755200357614,0.08540000000000003,"{'model__C': 0.05, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.25}",holdout,13.3,1,2,0
Logistic Regression,LR,RDKit desc,OOD holdout,lr_sol_hi_inner_ood_holdout_rdkit_desc,3,0.5622618173236118,0.8212093194890694,0.7565,0.5445,0.017761817323611817,0.21199999999999997,"{'model__C': 0.5, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",holdout,17.8,1,2,0
