feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,importance,raw_importance,abs_importance,rank,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight,top_k
80,ecfp4_bit_80,0.0535554502531974,0.0,True,0.0535554502531974,1.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0535554502531974,0.0535554502531974,0.0535554502531974,1,,,,,,10
985,ecfp4_bit_985,0.0400167387340056,7.0,True,0.0400167387340056,2.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0400167387340056,0.0400167387340056,0.0400167387340056,2,,,,,,10
486,ecfp4_bit_486,0.0378633074777098,6.0,True,0.0378633074777098,3.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0378633074777098,0.0378633074777098,0.0378633074777098,3,,,,,,10
815,ecfp4_bit_815,0.0262845131836532,1.0,True,0.0262845131836532,4.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0262845131836532,0.0262845131836532,0.0262845131836532,4,,,,,,10
684,ecfp4_bit_684,0.0232462426756337,7.0,True,0.0232462426756337,5.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0232462426756337,0.0232462426756337,0.0232462426756337,5,,,,,,10
641,ecfp4_bit_641,0.0228604486144399,5.0,True,0.0228604486144399,6.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0228604486144399,0.0228604486144399,0.0228604486144399,6,,,,,,10
883,ecfp4_bit_883,0.0208070472579804,8.0,True,0.0208070472579804,7.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0208070472579804,0.0208070472579804,0.0208070472579804,7,,,,,,10
543,ecfp4_bit_543,0.0202078252216586,11.0,True,0.0202078252216586,8.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0202078252216586,0.0202078252216586,0.0202078252216586,8,,,,,,10
456,ecfp4_bit_456,0.0200284475695073,3.0,True,0.0200284475695073,9.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0200284475695073,0.0200284475695073,0.0200284475695073,9,,,,,,10
221,ecfp4_bit_221,0.0190184950469004,2.0,True,0.0190184950469004,10.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.0190184950469004,0.0190184950469004,0.0190184950469004,10,,,,,,10
80,ecfp4_bit_80,0.0896113986086717,0.0,True,0.0896113986086717,1.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0896113986086717,0.0896113986086717,0.0896113986086717,1,,,,,,10
456,ecfp4_bit_456,0.0652095899712101,1.0,True,0.0652095899712101,2.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0652095899712101,0.0652095899712101,0.0652095899712101,2,,,,,,10
726,ecfp4_bit_726,0.035103296203901,1.0,True,0.035103296203901,3.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.035103296203901,0.035103296203901,0.035103296203901,3,,,,,,10
875,ecfp4_bit_875,0.0311679996028703,2.0,True,0.0311679996028703,4.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0311679996028703,0.0311679996028703,0.0311679996028703,4,,,,,,10
807,ecfp4_bit_807,0.030831893264707,2.0,True,0.030831893264707,5.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.030831893264707,0.030831893264707,0.030831893264707,5,,,,,,10
361,ecfp4_bit_361,0.0298007599176848,3.0,True,0.0298007599176848,6.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0298007599176848,0.0298007599176848,0.0298007599176848,6,,,,,,10
745,ecfp4_bit_745,0.0290515047312226,5.0,True,0.0290515047312226,7.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0290515047312226,0.0290515047312226,0.0290515047312226,7,,,,,,10
842,ecfp4_bit_842,0.0289428701868006,2.0,True,0.0289428701868006,8.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0289428701868006,0.0289428701868006,0.0289428701868006,8,,,,,,10
136,ecfp4_bit_136,0.0288039861149021,4.0,True,0.0288039861149021,9.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0288039861149021,0.0288039861149021,0.0288039861149021,9,,,,,,10
128,ecfp4_bit_128,0.0282260121713664,3.0,True,0.0282260121713664,10.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0282260121713664,0.0282260121713664,0.0282260121713664,10,,,,,,10
792,ecfp4_bit_792,0.0834275971459996,0.0,True,0.0834275971459996,1.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.3723241266790944,0.798691849900905,0.7555,0.2934,0.0834275971459996,0.0834275971459996,0.0834275971459996,1,,,,,,10
491,ecfp4_bit_491,0.0587733790291114,1.0,True,0.0587733790291114,2.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.3723241266790944,0.798691849900905,0.7555,0.2934,0.0587733790291114,0.0587733790291114,0.0587733790291114,2,,,,,,10
333,ecfp4_bit_333,0.0456691287450537,5.0,True,0.0456691287450537,3.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.3723241266790944,0.798691849900905,0.7555,0.2934,0.0456691287450537,0.0456691287450537,0.0456691287450537,3,,,,,,10
875,ecfp4_bit_875,0.037992643591427,4.0,True,0.037992643591427,4.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.3723241266790944,0.798691849900905,0.7555,0.2934,0.037992643591427,0.037992643591427,0.037992643591427,4,,,,,,10
896,ecfp4_bit_896,0.0363736695472804,1.0,True,0.0363736695472804,5.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.3723241266790944,0.798691849900905,0.7555,0.2934,0.0363736695472804,0.0363736695472804,0.0363736695472804,5,,,,,,10
