mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.07790184020996094,0.0,0.0017123222351074219,0.0,0.005,,0.0,"{'model__C': 0.005, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.20506512569442992,0.20506512569442992,0.0,60,0.7600387648681751,0.7600387648681751,0.0
0.007691860198974609,0.0,0.0014328956604003906,0.0,0.005,,0.25,"{'model__C': 0.005, 'model__class_weight': None, 'model__l1_ratio': 0.25}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.005354642868041992,0.0,0.0016682147979736328,0.0,0.005,,0.5,"{'model__C': 0.005, 'model__class_weight': None, 'model__l1_ratio': 0.5}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.004929542541503906,0.0,0.0018455982208251953,0.0,0.005,,0.75,"{'model__C': 0.005, 'model__class_weight': None, 'model__l1_ratio': 0.75}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.007052421569824219,0.0,0.002354860305786133,0.0,0.005,,1.0,"{'model__C': 0.005, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.06218743324279785,0.0,0.0016684532165527344,0.0,0.005,balanced,0.0,"{'model__C': 0.005, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.23783791891950076,0.23783791891950076,0.0,57,0.8380347856786433,0.8380347856786433,0.0
0.024666547775268555,0.0,0.0016033649444580078,0.0,0.005,balanced,0.25,"{'model__C': 0.005, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.25}",0.16621044369677032,0.16621044369677032,0.0,65,0.38176555225803116,0.38176555225803116,0.0
0.009821414947509766,0.0,0.0015516281127929688,0.0,0.005,balanced,0.5,"{'model__C': 0.005, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.01314401626586914,0.0,0.0019550323486328125,0.0,0.005,balanced,0.75,"{'model__C': 0.005, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.75}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.00790715217590332,0.0,0.0027475357055664062,0.0,0.005,balanced,1.0,"{'model__C': 0.005, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.08841753005981445,0.0,0.0016367435455322266,0.0,0.01,,0.0,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.2602978359244595,0.2602978359244595,0.0,47,0.8544065353841377,0.8544065353841377,0.0
0.01442718505859375,0.0,0.001859903335571289,0.0,0.01,,0.25,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.25}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.00975346565246582,0.0,0.0013670921325683594,0.0,0.01,,0.5,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.5}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.008302688598632812,0.0,0.002151966094970703,0.0,0.01,,0.75,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.75}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.005330801010131836,0.0,0.0016930103302001953,0.0,0.01,,1.0,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.08796310424804688,0.0,0.00501704216003418,0.0,0.01,balanced,0.0,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.2789261147119843,0.2789261147119843,0.0,32,0.865383804675308,0.865383804675308,0.0
0.04502248764038086,0.0,0.001920461654663086,0.0,0.01,balanced,0.25,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.25}",0.19541687589241885,0.19541687589241885,0.0,61,0.700072652461599,0.700072652461599,0.0
0.03108048439025879,0.0,0.0016222000122070312,0.0,0.01,balanced,0.5,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5}",0.13798463724515742,0.13798463724515742,0.0,67,0.37586493114001873,0.37586493114001873,0.0
0.014360189437866211,0.0,0.001988649368286133,0.0,0.01,balanced,0.75,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.75}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.015075445175170898,0.0,0.0019068717956542969,0.0,0.01,balanced,1.0,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.10726643598615918,0.10726643598615918,0.0,68,0.10900473933649289,0.10900473933649289,0.0
0.28418803215026855,0.0,0.002908468246459961,0.0,0.05,,0.0,"{'model__C': 0.05, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.304278025521299,0.304278025521299,0.0,16,0.9210571608656813,0.9210571608656813,0.0
0.172210693359375,0.0,0.0024089813232421875,0.0,0.05,,0.25,"{'model__C': 0.05, 'model__class_weight': None, 'model__l1_ratio': 0.25}",0.293081446057292,0.293081446057292,0.0,25,0.7976562542294151,0.7976562542294151,0.0
0.1151578426361084,0.0,0.002034902572631836,0.0,0.05,,0.5,"{'model__C': 0.05, 'model__class_weight': None, 'model__l1_ratio': 0.5}",0.21899341966102795,0.21899341966102795,0.0,59,0.6613603054128178,0.6613603054128178,0.0
0.2099595069885254,0.0,0.002711057662963867,0.0,0.05,,0.75,"{'model__C': 0.05, 'model__class_weight': None, 'model__l1_ratio': 0.75}",0.17738546145913736,0.17738546145913736,0.0,64,0.4625201746576321,0.4625201746576321,0.0
0.13558435440063477,0.0,0.0019528865814208984,0.0,0.05,,1.0,"{'model__C': 0.05, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.16621044369677032,0.16621044369677032,0.0,65,0.38176555225803116,0.38176555225803116,0.0
0.14046859741210938,0.0,0.001901865005493164,0.0,0.05,balanced,0.0,"{'model__C': 0.05, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.3172804157212249,0.3172804157212249,0.0,8,0.8862388193428206,0.8862388193428206,0.0
0.14446258544921875,0.0,0.0034520626068115234,0.0,0.05,balanced,0.25,"{'model__C': 0.05, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.25}",0.2809491514434067,0.2809491514434067,0.0,31,0.8239661232561616,0.8239661232561616,0.0
0.10416889190673828,0.0,0.002180337905883789,0.0,0.05,balanced,0.5,"{'model__C': 0.05, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5}",0.2601488905218353,0.2601488905218353,0.0,48,0.7636511776650085,0.7636511776650085,0.0
0.10626530647277832,0.0,0.002173185348510742,0.0,0.05,balanced,0.75,"{'model__C': 0.05, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.75}",0.237420902149475,0.237420902149475,0.0,58,0.7042114413440034,0.7042114413440034,0.0
0.17239880561828613,0.0,0.0028769969940185547,0.0,0.05,balanced,1.0,"{'model__C': 0.05, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.18252625632695108,0.18252625632695108,0.0,62,0.6200828680533849,0.6200828680533849,0.0
0.28801703453063965,0.0,0.0022149085998535156,0.0,0.1,,0.0,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.3027516534189322,0.3027516534189322,0.0,18,0.9430978813806228,0.9430978813806228,0.0
