mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
0.5816402435302734,0.0,0.37108731269836426,0.0,0.01,,"{'C': 0.01, 'class_weight': None}",0.08033205931117404,0.08033205931117404,0.0,8,0.20960083758625275,0.20960083758625275,0.0
4.301057815551758,0.0,2.102308511734009,0.0,0.01,balanced,"{'C': 0.01, 'class_weight': 'balanced'}",0.14087396867698943,0.14087396867698943,0.0,6,0.19196860487212086,0.19196860487212086,0.0
2.0573229789733887,0.0,0.5659799575805664,0.0,0.1,,"{'C': 0.1, 'class_weight': None}",0.08006504129201843,0.08006504129201843,0.0,9,0.15831639089158883,0.15831639089158883,0.0
4.539326906204224,0.0,1.7699310779571533,0.0,0.1,balanced,"{'C': 0.1, 'class_weight': 'balanced'}",0.1457533615212434,0.1457533615212434,0.0,2,0.19110200479118067,0.19110200479118067,0.0
2.0988762378692627,0.0,0.7121481895446777,0.0,0.5,,"{'C': 0.5, 'class_weight': None}",0.08960508980580931,0.08960508980580931,0.0,7,0.17478740724413488,0.17478740724413488,0.0
5.311442136764526,0.0,1.6336703300476074,0.0,0.5,balanced,"{'C': 0.5, 'class_weight': 'balanced'}",0.1463345034559636,0.1463345034559636,0.0,1,0.1872299210325728,0.1872299210325728,0.0
2.162625551223755,0.0,0.8640820980072021,0.0,1.0,,"{'C': 1.0, 'class_weight': None}",0.06563963338120266,0.06563963338120266,0.0,12,0.10553001094850102,0.10553001094850102,0.0
7.604942560195923,0.0,1.6194732189178467,0.0,1.0,balanced,"{'C': 1.0, 'class_weight': 'balanced'}",0.14433819565942516,0.14433819565942516,0.0,3,0.18820030020464598,0.18820030020464598,0.0
6.047593355178833,0.0,1.2032880783081055,0.0,5.0,,"{'C': 5.0, 'class_weight': None}",0.06920787443519663,0.06920787443519663,0.0,11,0.14595618693617068,0.14595618693617068,0.0
15.285928964614868,0.0,1.5741453170776367,0.0,5.0,balanced,"{'C': 5.0, 'class_weight': 'balanced'}",0.14214917064468469,0.14214917064468469,0.0,4,0.18716463725505803,0.18716463725505803,0.0
8.11811900138855,0.0,1.3209655284881592,0.0,10.0,,"{'C': 10.0, 'class_weight': None}",0.07611427316139761,0.07611427316139761,0.0,10,0.13705429677831843,0.13705429677831843,0.0
23.23605179786682,0.0,1.5599360466003418,0.0,10.0,balanced,"{'C': 10.0, 'class_weight': 'balanced'}",0.14109283887608717,0.14109283887608717,0.0,5,0.18669809387149486,0.18669809387149486,0.0
