mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_l1_ratio,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.5147565603256226,0.11705982685089111,0.006306290626525879,0.0011457204818725586,0.01,,0.0,"{'C': 0.01, 'class_weight': None, 'l1_ratio': 0.0}",0.21023594531783027,0.18933743182503798,0.1997866885714341,0.010449256746396143,4,0.2379308218152916,0.24579358282860692,0.24186220232194927,0.0039313805066576585
0.08377587795257568,0.014959931373596191,0.005937695503234863,0.0002611875534057617,0.01,,1.0,"{'C': 0.01, 'class_weight': None, 'l1_ratio': 1.0}",0.03823117114820951,0.03810859036451695,0.038169880756363225,6.129039184627968e-05,12,0.03810859036451695,0.03823117114820951,0.038169880756363225,6.129039184627968e-05
94.4060218334198,0.21288776397705078,0.005951285362243652,8.33272933959961e-05,0.01,balanced,0.0,"{'C': 0.01, 'class_weight': 'balanced', 'l1_ratio': 0.0}",0.1518825303539062,0.16722400135542848,0.15955326585466734,0.007670735500761139,7,0.18182595557552256,0.20862513042426375,0.19522554299989314,0.013399587424370599
119.74878633022308,0.17111480236053467,0.008755803108215332,0.0002752542495727539,0.01,balanced,1.0,"{'C': 0.01, 'class_weight': 'balanced', 'l1_ratio': 1.0}",0.08045108640688742,0.11059544002516301,0.09552326321602522,0.015072176809137798,11,0.0905768990098766,0.12170662791172632,0.10614176346080145,0.015564864450924858
0.8610460758209229,0.06410932540893555,0.007018446922302246,4.374980926513672e-05,0.1,,0.0,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.0}",0.2537159445000212,0.24407155505883812,0.24889374977942968,0.004822194720591547,3,0.3483815170634877,0.3199117842695721,0.33414665066652993,0.014234866396957785
0.5749677419662476,0.01573026180267334,0.007354021072387695,3.743171691894531e-05,0.1,,1.0,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 1.0}",0.20134044599587395,0.17207791458669233,0.18670918029128314,0.014631265704590807,5,0.24289661587057282,0.23364527850756625,0.23827094718906955,0.004625668681503284
93.10012125968933,1.6109752655029297,0.00635981559753418,0.00014901161193847656,0.1,balanced,0.0,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.0}",0.16551395969431845,0.17328098569893424,0.16939747269662636,0.003883513002307895,6,0.23021464096806551,0.22550093008598557,0.22785778552702554,0.0023568554410399734
123.8631774187088,0.5512958765029907,0.00805199146270752,0.0023239850997924805,0.1,balanced,1.0,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 1.0}",0.1340441319057081,0.16800497609810608,0.1510245540019071,0.016980422096198988,8,0.16518435879544302,0.21691532591384047,0.19104984235464173,0.025865483559198724
0.9831262826919556,0.10763466358184814,0.006815791130065918,0.0001150369644165039,1.0,,0.0,"{'C': 1.0, 'class_weight': None, 'l1_ratio': 0.0}",0.25645779561969273,0.2570057529346795,0.2567317742771861,0.00027397865749337336,2,0.38687379117575604,0.3545462014446072,0.37070999631018164,0.016163794865574427
1.5101276636123657,0.036241888999938965,0.007701754570007324,0.0005470514297485352,1.0,,1.0,"{'C': 1.0, 'class_weight': None, 'l1_ratio': 1.0}",0.2583449026129194,0.25790423516243355,0.2581245688876765,0.00022033372524293826,1,0.38373873227564004,0.3451218715862208,0.3644303019309304,0.01930843034470961
97.79560005664825,3.3474355936050415,0.01159512996673584,0.0028721094131469727,1.0,balanced,0.0,"{'C': 1.0, 'class_weight': 'balanced', 'l1_ratio': 0.0}",0.15831697841446327,0.13325169999896241,0.14578433920671285,0.012532639207750426,9,0.23822376833780387,0.16901835302221618,0.20362106068001,0.034602707657793844
130.535786151886,2.3892104625701904,0.006980299949645996,0.001540541648864746,1.0,balanced,1.0,"{'C': 1.0, 'class_weight': 'balanced', 'l1_ratio': 1.0}",0.1471658679116207,0.14232708473169733,0.14474647632165902,0.0024193915899616836,10,0.1922158184566885,0.15714215555945368,0.1746789870080711,0.01753683144861741
