dataset,model,fingerprint,fold,top_k,n_ood_features,n_random_features,effective_k,n_overlap,n_union,overlap_percent,jaccard_percent,expected_overlap_count_random,random_expected_percent,dataset_order,model_order,fingerprint_order,protocol_order
sol,Logistic Regression,ECFP4,2,100,100,100,100,88,112,88.0,78.57,4.8828,4.88,2,1,0,99
sol,Logistic Regression,ECFP4,2,150,131,150,150,115,166,76.67,69.28,9.5947,6.4,2,1,0,99
sol,Logistic Regression,ECFP4,2,200,131,200,200,123,208,61.5,59.13,12.793,6.4,2,1,0,99
sol,Logistic Regression,ECFP4,3,10,10,10,10,5,15,50.0,33.33,0.0488,0.49,2,1,0,99
sol,Logistic Regression,ECFP4,3,20,20,20,20,11,29,55.0,37.93,0.1953,0.98,2,1,0,99
sol,Logistic Regression,ECFP4,3,50,50,50,50,34,66,68.0,51.52,1.2207,2.44,2,1,0,99
sol,Logistic Regression,ECFP4,3,100,100,100,100,74,126,74.0,58.73,4.8828,4.88,2,1,0,99
sol,Logistic Regression,ECFP4,3,150,150,150,150,118,182,78.67,64.84,10.9863,7.32,2,1,0,99
sol,Logistic Regression,ECFP4,3,200,200,200,200,169,231,84.5,73.16,19.5312,9.77,2,1,0,99
sol,Linear SVM,ECFP4,1,10,10,10,10,10,10,100.0,100.0,0.0488,0.49,2,2,0,99
sol,Linear SVM,ECFP4,1,20,20,20,20,20,20,100.0,100.0,0.1953,0.98,2,2,0,99
sol,Linear SVM,ECFP4,1,50,50,50,50,50,50,100.0,100.0,1.2207,2.44,2,2,0,99
sol,Linear SVM,ECFP4,1,100,100,100,100,100,100,100.0,100.0,4.8828,4.88,2,2,0,99
sol,Linear SVM,ECFP4,1,150,150,150,150,150,150,100.0,100.0,10.9863,7.32,2,2,0,99
sol,Linear SVM,ECFP4,1,200,200,200,200,200,200,100.0,100.0,19.5312,9.77,2,2,0,99
sol,Linear SVM,ECFP4,2,10,10,10,10,9,11,90.0,81.82,0.0488,0.49,2,2,0,99
sol,Linear SVM,ECFP4,2,20,20,20,20,17,23,85.0,73.91,0.1953,0.98,2,2,0,99
