dataset,dataset_label,model,model_short,fingerprint,inner_ood,inner_random,delta_inner_optimism,test_ood,test_random,delta_test_benefit,gap_ood,gap_random,delta_gap,train_gap_ood,train_gap_random,dataset_order,model_order,fingerprint_order,protocol_order
drd2,DRD2,Decision Tree,DT,ECFP4,0.7657671860747746,0.8766635706980658,0.11089638462329121,0.7126333333333333,0.7305,-0.017866666666666697,0.05313385274144126,0.14616357069806565,0.0930297179566244,0.1634,0.20463333333333333,0,0,0,99
drd2,DRD2,Logistic Regression,LR,ECFP4,0.7514662741004008,0.9104491105224044,0.15898283642200361,0.7572666666666666,0.7692333333333333,-0.011966666666666681,-0.005800392566265818,0.14121577718907116,0.147016169755337,0.18683333333333332,0.21130000000000004,0,1,0,99
drd2,DRD2,Linear SVM,SVM,ECFP4,0.7377412854087176,0.9056105983946751,0.16786931298595742,0.7533333333333333,0.7677999999999999,-0.014466666666666628,-0.01559204792461566,0.1378105983946751,0.15340264631929076,0.1899333333333334,0.20976666666666666,0,2,0,99
hiv,HIV,Decision Tree,DT,ECFP4,0.1512660136580948,0.33554004368493073,0.18427403002683593,0.05126666666666666,0.0701,-0.018833333333333334,0.09999934699142814,0.2654400436849307,0.16544069669350253,0.38413333333333327,0.41723333333333334,1,0,0,99
hiv,HIV,Logistic Regression,LR,ECFP4,0.1401362410760974,0.4123014091961447,0.2721651681200473,0.0742,0.07146666666666666,0.0027333333333333376,0.0659362410760974,0.34083474252947804,0.27489850145338063,0.40086666666666665,0.5183333333333334,1,1,0,99
hiv,HIV,Linear SVM,SVM,ECFP4,0.10356649946970105,0.37542468581706173,0.2718581863473607,0.058600000000000006,0.0673,-0.008699999999999992,0.04496649946970104,0.30812468581706165,0.2631581863473606,0.5025000000000001,0.4496,1,2,0,99
sol,Sol,Decision Tree,DT,ECFP4,0.3854800571349159,0.39222542238766916,0.006745365252753266,0.3166,0.3169666666666667,-0.0003666666666666818,0.06888005713491592,0.07525875572100253,0.006378698586086612,0.3072333333333333,0.3324,2,0,0,99
sol,Sol,Logistic Regression,LR,ECFP4,0.5023705647227588,0.581015665789642,0.07864510106688327,0.4774333333333334,0.48973333333333335,-0.012299999999999978,0.024937231389425423,0.09128233245630872,0.0663451010668833,0.35283333333333333,0.38246666666666657,2,1,0,99
sol,Sol,Linear SVM,SVM,ECFP4,0.4794280382044879,0.5720141161399238,0.09258607793543588,0.4967333333333333,0.5004666666666666,-0.0037333333333333107,-0.017305295128845415,0.07154744947325713,0.08885274460210255,0.2614,0.27643333333333336,2,2,0,99
