dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,dataset_order,model_order,fingerprint_order,protocol_order
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,2,0.6737598259765726,0.9209,0.8613,-0.18754017402342738,0.0596000000000001,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1017.0,0.0068359375,51.95132391234746,2.1619802439121534,0.46253891672500985,[-0.8659482281129154],0.01,,,,"[650, 1089]",1739.0,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,3,0.6863351799764443,0.9118,0.7553,-0.06896482002355564,0.15650000000000008,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,992.0,0.03125,14.447417783981104,0.6611568432444419,1.5125004153216963,[0.29413650590154683],0.002,,,,"[739, 791]",1530.0,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,1,0.9329517171760465,0.9838,0.6547,0.2782517171760466,0.32910000000000006,SVC,svm_linear_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1005.0,0.0185546875,153.5582899911687,6.14097821033824,0.16284050614550558,[-1.8994311599443892],0.1,,,,"[382, 774]",1156.0,0,2,0,1
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,2,0.8825456005645301,0.9748,0.8614,0.021145600564530076,0.11339999999999995,SVC,svm_linear_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1007.0,0.0166015625,235.65115671805367,9.391121585576757,0.1064835537360988,[-1.0694942803179448],0.25,,,,"[475, 739]",1214.0,0,2,0,1
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,3,0.9013344774434486,0.9741,0.7873,0.11403447744344863,0.18679999999999997,SVC,svm_linear_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1004.0,0.01953125,155.30495056024733,6.207060650771935,0.16110685173917802,[-1.9294947230938388],0.1,,,,"[430, 833]",1263.0,0,2,0,1
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,1,0.17844643303395624,0.4062,0.0512,0.12724643303395625,0.355,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,8.0,57.0,29.0,26.0,0.025390625,entropy,10.0,,2.0,50.0,0.001,,3.8076923076923075,1.8814730474823087,0.0,7.0,,,,,,,,,,,,,,,1,0,0,0
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,2,0.13941247778776567,0.336,0.0815,0.05791247778776566,0.2545,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,30.0,239.0,120.0,106.0,0.103515625,gini,30.0,,5.0,20.0,0.001,balanced,13.169811320754716,7.949690510308131,0.0,29.0,,,,,,,,,,,,,,,1,0,0,0
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,3,0.13593913015256248,0.564,0.0211,0.11483913015256247,0.5428999999999999,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,811.0,406.0,316.0,0.30859375,gini,20.0,log2,2.0,10.0,0.0,,11.629746835443038,4.603136100662695,0.0,19.0,,,,,,,,,,,,,,,1,0,0,0
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,1,0.3088881591250223,0.4062,0.0512,0.2576881591250223,0.355,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,8.0,57.0,29.0,26.0,0.025390625,entropy,30.0,,5.0,2.0,0.001,,3.8076923076923075,1.8814730474823087,0.0,7.0,,,,,,,,,,,,,,,1,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,2,0.2767166170709154,0.4653,0.1301,0.1466166170709154,0.3352,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,30.0,243.0,122.0,90.0,0.087890625,gini,30.0,,20.0,2.0,1e-05,,10.911111111111111,7.445572053904021,0.0,28.0,,,,,,,,,,,,,,,1,0,0,1
